name,position,city_name,population
andre jamal drummond,Frontcourt,Philadelphia,1603797
anthony edwards,Backcourt,Minneapolis,429954
anthony marshon davis,Frontcourt,Los Angeles,"3,820,914"
ausar xlnc thompson,,Detroit,"639,111"
austin tyler reaves,,Los Angeles,"3,820,914"
caleb martin,Frontcourt,Philadelphia,1603797
d'angelo russell,Backcourt,Los Angeles,"3,820,914"
drew edward gordon,Frontcourt,Philadelphia,1603797
duncan mcbryde robinson,,Miami,442241
"edrice femi ""bam"" adebayo",,Miami,442241
giannis sina ugo antetokounmpo,Frontcourt,Milwaukee,"577,222"
jaden edward dhananjay ivey,,Detroit,"639,111"
jaime jaquez,,Miami,442241
joel hans embiid,,Philadelphia,1603797
kyrie andrew irving,,Dallas,1304379
lonzo anderson ball,Backcourt,Chicago,2746388
max berning fiedler,,Philadelphia,1603797
tyler christopher herro,Backcourt,Miami,442241
victor wembanyama,Frontcourt,San Antonio,1434625
zach collins,,San Antonio,1434625
zachary thomas lavine,,Chicago,2746388
