name,college,team_name,gdp
andre jamal drummond,University of Connecticut,Philadelphia 76ers,518.5
anthony edwards,Georgia,Minnesota Timberwolves,
anthony marshon davis,Kentucky,Los Angeles Lakers,
ausar xlnc thompson,,Detroit Pistons,
cade parker cunningham,Oklahoma State,Detroit Pistons,
christopher emmanuel paul,Wake Forest University,San Antonio Spurs,
d'angelo russell,Ohio State,Los Angeles Lakers,
dan anderson,,Portland Trail Blazers,
"edrice femi ""bam"" adebayo",University of Kentucky,Miami Heat,344.9
giannis sina ugo antetokounmpo,,Milwaukee Bucks,"102,000,000,000"
harrison bryce jordan barnes,North Carolina Tar Heels,San Antonio Spurs,
isiah thomas,Indiana Hoosiers,Detroit Pistons,
jabari dominic walker,Colorado,Portland Trail Blazers,
jaden edward dhananjay ivey,Purdue,Detroit Pistons,
jaime jaquez,UCLA,Miami Heat,344.9
jarrett jack,Georgia Tech,Detroit Pistons,
jimmy butler,Marquette University,Miami Heat,344.9
joel hans embiid,University of Kansas,Philadelphia 76ers,518.5
john harding lucas,University of Maryland,Houston Rockets,
kevin wesley love,UCLA,Miami Heat,344.9
kyle terrell lowry,Villanova Wildcats,Philadelphia 76ers,518.5
kyrie andrew irving,Duke University,Dallas Mavericks,
lebron raymone james,,Los Angeles Lakers,
lonzo anderson ball,UCLA,Chicago Bulls,689000
mark price,Georgia Tech,Orlando Magic,
paul clifton anthony george,Fresno State,Philadelphia 76ers,518.5
tim duncan,Wake Forest University,San Antonio Spurs,
tyler christopher herro,University of Kentucky,Miami Heat,344.9
victor wembanyama,,San Antonio Spurs,
zach collins,Gonzaga Bulldogs,San Antonio Spurs,
zachary thomas lavine,UCLA,Chicago Bulls,689000
