name,college,team_name,gdp,city.id,id,player.id,team.id
andre jamal drummond,Connecticut Huskies,Philadelphia 76ers,47900000000.0,,,,
anthony edwards,Georgia,Minnesota Timberwolves,-1.0,,,,
anthony marshon davis,Kentucky,Los Angeles Lakers,1000000000.0,,,,
ausar xlnc thompson,,Detroit Pistons,,,,,
cade parker cunningham,Oklahoma State,Detroit Pistons,,,,,
christopher emmanuel paul,Wake Forest University,San Antonio Spurs,,,,,
d'angelo russell,Ohio State Buckeyes,Los Angeles Lakers,1000000000.0,,,,
dan anderson,,Portland Trail Blazers,,,,,
"edrice femi ""bam"" adebayo",Kentucky,Miami Heat,-1.0,,,,
giannis sina ugo antetokounmpo,,Milwaukee Bucks,10200000000.0,,,,
harrison bryce jordan barnes,North Carolina Tar Heels,San Antonio Spurs,,,,,
isiah thomas,Indiana University,Detroit Pistons,,,,,
jabari dominic walker,Colorado Buffaloes,Portland Trail Blazers,,,,,
jaden edward dhananjay ivey,Purdue,Detroit Pistons,,,,,
jaime jaquez,UCLA,Miami Heat,-1.0,,,,
jarrett jack,Georgia Tech,Detroit Pistons,,,,,
jimmy butler,Marquette University,Miami Heat,-1.0,,,,
joel hans embiid,Kansas,Philadelphia 76ers,47900000000.0,,,,
john harding lucas,University of Maryland,Houston Rockets,-1.0,,,,
kevin wesley love,UCLA,Miami Heat,-1.0,,,,
kyle terrell lowry,Villanova,Philadelphia 76ers,47900000000.0,,,,
kyrie andrew irving,Duke University,Dallas Mavericks,,,,,
lebron raymone james,Saint Vincent–St. Mary High School,Los Angeles Lakers,1000000000.0,,,,
lonzo anderson ball,UCLA,Chicago Bulls,,,,,
mark price,Georgia Tech,Cleveland Cavaliers,13830000000.0,,,,
paul clifton anthony george,Fresno State,Philadelphia 76ers,47900000000.0,,,,
tim duncan,Wake Forest University,San Antonio Spurs,,,,,
tyler christopher herro,University of Kentucky,Miami Heat,-1.0,,,,
victor wembanyama,,San Antonio Spurs,,,,,
zach collins,Gonzaga,San Antonio Spurs,,,,,
zachary thomas lavine,UCLA,Chicago Bulls,,,,,
