name,birth_date,team_name,area,city.id,id,player.id,team.id
anthony marshon davis,,Los Angeles Lakers,502.7,,,,
ausar xlnc thompson,"January 30, 2003",Detroit Pistons,142.87,,,,
austin tyler reaves,1998-05-29,Los Angeles Lakers,502.7,,,,
cade parker cunningham,"September 25, 2001",Detroit Pistons,142.87,,,,
d'angelo russell,1996-02-23,Los Angeles Lakers,502.7,,,,
isiah thomas,1961-04-30,Detroit Pistons,142.87,,,,
jaden edward dhananjay ivey,2002-02-13,Detroit Pistons,142.87,,,,
jarrett jack,"October 28, 1983",Detroit Pistons,142.87,,,,
john harding lucas,"October 31, 1953",Houston Rockets,637.4,,,,
lebron raymone james,,Los Angeles Lakers,502.7,,,,
