team_name,location,city_name,state_name
Atlanta Hawks,Atlanta,Atlanta,Georgia
Chicago Bulls,Chicago,Chicago,Illinois
Cleveland Cavaliers,Cleveland,Cleveland,Ohio
Dallas Mavericks,Dallas,Dallas,Texas
Denver Nuggets,Denver,Denver,Colorado
Detroit Pistons,Detroit,Detroit,Michigan
Houston Rockets,Houston,Houston,Texas
Indiana Pacers,Indianapolis,Indianapolis,Indiana
Los Angeles Lakers,Los Angeles,Los Angeles,California
Miami Heat,Miami,Miami,Florida
Milwaukee Bucks,Milwaukee,Milwaukee,Wisconsin
Minnesota Timberwolves,Minneapolis,Minneapolis,Minnesota
New Orleans Pelicans,New Orleans,New Orleans,Louisiana
Oklahoma City Thunder,Oklahoma City,Oklahoma City,Oklahoma
Philadelphia 76ers,Philadelphia,Philadelphia,Pennsylvania
Portland Trail Blazers,Portland,Portland,Oregon
San Antonio Spurs,San Antonio,San Antonio,Texas
Toronto Raptors,Toronto,Toronto,
Utah Jazz,Salt Lake City,Salt Lake City,
