name,team_name,city_name,state_name
Mark Price,Cleveland Cavaliers,Cleveland,Ohio
Anthony Davis,Los Angeles Lakers,Los Angeles,California
Drew Gordon,Philadelphia 76ers,Philadelphia,Pennsylvania
Jarrett Jack,Detroit Pistons,Detroit,Michigan
Earvin Johnson,Los Angeles Lakers,Los Angeles,California
Isiah Thomas,Detroit Pistons,Detroit,Michigan
Dan Anderson,Portland Trail Blazers,Portland,Oregon
Dwayne Schintzius,San Antonio Spurs,San Antonio,Texas
Tim Duncan,San Antonio Spurs,San Antonio,Texas
Anthony Edwards,Minnesota Timberwolves,Minneapolis,Minnesota
Jabari Walker,Portland Trail Blazers,Portland,Oregon
John Lucas II,Houston Rockets,Houston,Texas
Eric Johnson Jones,Utah Jazz,Salt Lake City,
Andre Drummond,Philadelphia 76ers,Philadelphia,Pennsylvania
D'Angelo Russell,Los Angeles Lakers,Los Angeles,California
Joel Embiid,Philadelphia 76ers,Philadelphia,Pennsylvania
Paul George,Philadelphia 76ers,Philadelphia,Pennsylvania
Kyrie Irving,Dallas Mavericks,Dallas,Texas
Caleb Martin,Philadelphia 76ers,Philadelphia,Pennsylvania
Max Fiedler,Philadelphia 76ers,Philadelphia,Pennsylvania
Victor Wembanyama,San Antonio Spurs,San Antonio,Texas
Austin Reaves,Los Angeles Lakers,Los Angeles,California
Kevin Love,Miami Heat,Miami,Florida
Giannis Antetokounmpo,Milwaukee Bucks,Milwaukee,Wisconsin
Tyler Herro,Miami Heat,Miami,Florida
Duncan Robinson,Miami Heat,Miami,Florida
Cade Cunningham,Detroit Pistons,Detroit,Michigan
LeBron James,Los Angeles Lakers,Los Angeles,California
Jimmy Butler,Miami Heat,Miami,Florida
Zach LaVine,Chicago Bulls,Chicago,Illinois
Jaden Ivey,Detroit Pistons,Detroit,Michigan
Kyle Lowry,Philadelphia 76ers,Philadelphia,Pennsylvania
Zach Collins,San Antonio Spurs,San Antonio,Texas
Lonzo Ball,Chicago Bulls,Chicago,Illinois
Jaime Jaquez Jr.,Miami Heat,Miami,Florida
Ausar Thompson,Detroit Pistons,Detroit,Michigan
Chris Paul,San Antonio Spurs,San Antonio,Texas
Harrison Barnes,San Antonio Spurs,San Antonio,Texas
Bam Adebayo,Miami Heat,Miami,Florida
