name,birth_date,team_name,area
Anthony Davis,,Los Angeles Lakers,502.7
Austin Reaves,1998-05-29,Los Angeles Lakers,502.7
D'Angelo Russell,1996-02-23,Los Angeles Lakers,502.7
Earvin Johnson,1959-08-14,Los Angeles Lakers,502.7
LeBron James,,Los Angeles Lakers,502.7
Andre Drummond,1993-08-10,Philadelphia 76ers,142.71
Caleb Martin,1995-09-28,Philadelphia 76ers,142.71
Drew Gordon,1990-07-12,Philadelphia 76ers,142.71
Joel Embiid,1994-03-16,Philadelphia 76ers,142.71
Kyle Lowry,1986-03-25,Philadelphia 76ers,142.71
Max Fiedler,"February 26, 2001",Philadelphia 76ers,142.71
Paul George,"May 2, 1990",Philadelphia 76ers,142.71
John Lucas II,"October 31, 1953",Houston Rockets,637.4
Ausar Thompson,"January 30, 2003",Detroit Pistons,142.87
Cade Cunningham,"September 25, 2001",Detroit Pistons,142.87
Isiah Thomas,1961-04-30,Detroit Pistons,142.87
Jaden Ivey,2002-02-13,Detroit Pistons,142.87
Jarrett Jack,"October 28, 1983",Detroit Pistons,142.87
