name,nationality,age
Antonius Cleveland,American,31
Jay Vincent Jay Fletcher Vincent,American,66
Nikola Radi?evi?,Serbian,31
Fran Curran Francis Hugh Curran Sr.,American,103
Mark Price,American,61
David Michineau,French,31
Donta Hall,American-born naturalized Azerbaijani,28
Erick Strickland,American,51
David Lattin,American,81
Toby Kimball,American,83
Derek Grimm,American,51
Anthony Marshon Davis Jr.,American,32
Brandan Keith Wright,American,37
Askia Rahman Jones,American-Venezuelan,53
Carrick Felix,American,35
Mychel Thompson,American,37
Marvin Roberts,American,75
"Kenneth ""Apple"" Green",American,66
Gerald Madkins Jr.,American,56
Don Anielak,American,95
Philip Douglas Jackson,American,80
Anthony Avent,American,56
Drew Edward Gordon,American,33
Jarrett Jack,American,41
Rick Hughes,American,52
Lavoy Allen,American,36
Ed Dahler Edward Dahler Jr.,American,99
Magic Johnson,American,66
Stanley M. Noszka,,105
Isiah Thomas,American,64
Dan Anderson,American,74
Jahlil Okafor,Nigerian-American,30
Trent Tucker,American,65
Dwayne Kenneth Schintzius,American,57
Miles Julian Simon,American,49
Guy William Rodgers,American,90
Vernon Maxwell,American,60
Tim Duncan,American,50
Walter Berry,American,61
James Patrick Walsh,American,95
Tony Lorenzo Delk,American,51
Calvin Ramsey,American,88
Gene Dyker Eugene Walter Dyker,American,95
Derrick Chievous,American,58
Rik Smits,Dutch,59
Anthony Edwards,American,24
"Harry Junior ""The Horse"" Gallatin",American,98
Jim Brasco,American,94
Darnell Hillman,American,76
Larry Robinson,Canadian,74
Nicholas William Calathes,Greek-American,36
Rod Derline,,73
Kurt Thomas,American,53
Kevin Wayne Durant,American,37
Aaron Williams,American,54
Nathaniel Thomas Huffman,American,50
Fred Boyd,American,75
William Bedford,American,61
Steve Smith,American,56
Shawn Christopher Respert,American,53
Rodney Strickland,American,59
Elmer H. Behnke,American,96
Lamar Brandon Stevens,American,28
Ronald Moore,American,37
Erazem Lorbek,Slovenian,41
"Marvin ""Mickey"" Rottner",American,106
Hamidou Diallo,American,27
"Dewayne ""D. J."" White, Jr.",American,39
Steve Kerr,American,60
Gregory Clinton Foster,American,57
Bill Hewitt,American,81
Joseph Xavier Forte,American,44
Dino_Ra?a,Croatian,58
Mark Jeffrey Radford,American,66
Kostas Papanikolaou,Greek,35
Garry Witts Garrett David Witts,American,66
Jabari Dominic Walker,American,23
Devontae Cacok,American,29
Brandon Goodwin,American,30
Dick Rosenthal,American,91
Jamal Crawford,American,45
Jordan Lee Crawford,American,37
Tom Copa,American,61
Kermit Washington,American,74
Donyell Marshall,American,52
Wayne Lavern Robinson,American,95
Greg Fillmore Gregory Paul Fillmore,American,78
John Harding Lucas II,American,72
Dick Surhoff,American,96
Garfield Smith,American,80
Leroy Patrick Chollet,American,100
Michael Carter-Williams,American,34
Dennis Schr?der,German,32
Jack Parr,American,89
"Monti Davis DaMon William ""Monti"" Davis",American,67
Eric Johnson Jones,American-Spanish,59
Sidney Harold Tanenbaum,American,100
Trayce Jackson-Davis,American,25
Andre Jamal Drummond,American,32
"Chavano Rainer ""Buddy"" Hield",Bahamian,33
D'Angelo Russell,American,29
Joel Hans Embiid,Cameroonian-American,31
Paul Clifton Anthony George,American,35
Kyrie Andrew Irving,American,33
Jayson Christopher Tatum,American,27
Caleb Martin,American,30
Andrew Christian Wiggins,Canadian,30
Max Berning Fiedler,American,24
"Ogugua ""OG"" Anunoby Jr.",British,28
Jaylen Marselles Brown,American,29
Victor Wembanyama,French,21
Jrue Randall Holiday,American,35
Austin Tyler Reaves,American,27
Kevin Wesley Love,American,37
Giannis Sina Ugo Antetokounmpo,Greek and Nigerian,31
Wardell Stephen Curry II,American,37
Alfred Joel Horford Reynoso,Dominican,39
Tyler Christopher Herro,American,25
Duncan McBryde Robinson,American,31
Kyle Forman Anderson,American-Chinese,33
Cade Parker Cunningham,American,24
LeBron Raymone James Sr.,American,40
Jimmy Butler III,American,36
Kevon Grant Looney,American,29
Zachary Thomas LaVine,American,30
Jaden Edward Dhananjay Ivey,American,23
Kyle Terrell Lowry,American,39
Michael Jeffrey Jordan,American,62
Devin Armani Booker,American,28
Draymond Jamal Green,American,35
Zach Collins,American,28
Jonathan Malangu Kuminga,Congolese,23
Lonzo Anderson Ball,American,28
Jaime Jaquez Jr.,Mexican-American,24
Ausar XLNC Thompson,American,22
Jalen Marquis Brunson,American,29
Shaquille Rashaun O'Neal,American,53
Kobe Bean Bryant,American,47
Christopher Emmanuel Paul,American,40
Harrison Bryce Jordan Barnes,American,33
"Edrice Femi ""Bam"" Adebayo",American,28
