team_name,location,founded_year,id,team.id
atlanta hawks,Atlanta,1946,,
brooklyn nets,New York City borough of Brooklyn,1967,,
charlotte hornets,"Charlotte, North Carolina",1988,,
cleveland cavaliers,Cleveland,1970,,
golden state warriors,San Francisco,1946,,
indiana pacers,Indianapolis,1967,,
los angeles clippers,Greater Los Angeles area,1970,,
memphis grizzlies,"Memphis, Tennessee",1995,,
miami heat,Miami,1988,,
minnesota timberwolves,Minneapolis,1989,,
oklahoma city thunder,"Seattle initially, then Oklahoma City",1967,,
orlando magic,"Orlando, Florida",1989,,
philadelphia 76ers,Philadelphia metropolitan area,1946,,
portland trail blazers,"Portland, Oregon",1970,,
san antonio spurs,San Antonio,1973,,
utah jazz,Salt Lake City,1974,,
