city_name,state_name,population
Denver,Colorado,715522
Boston,Massachusetts,675647
Indianapolis,Indiana,887642
Dallas,Texas,1304379
San Antonio,Texas,1434625
Los Angeles,California,"3,820,914"
Minneapolis,Minnesota,429954
Miami,Florida,442241
Inglewood,California,"107,762"
Portland,Oregon,"652,503"
San Francisco,California,808988
Philadelphia,Pennsylvania,1603797
New Orleans,Louisiana,"383,997"
Chicago,Illinois,2746388
Orlando,Florida,307573
Salt Lake City,Utah,200133
Toronto,Ontario,2794356
Phoenix,Arizona,1662607
"Washington, D.C.",,"689,545"
Cleveland,Ohio,"372,624"
Houston,Texas,2314157
Sacramento,California,524943
Detroit,Michigan,"639,111"
Memphis,Tennessee,633104
Charlotte,North Carolina,874579
New York City,New York,8258035
Oklahoma City,Oklahoma,681054
Milwaukee,Wisconsin,"577,222"
Atlanta,Georgia,"510,823"
