city_name,state_name,population
atlanta,Georgia,"510,823"
boston,Massachusetts,675647
charlotte,North Carolina,874579
chicago,Illinois,2746388
cleveland,Ohio,"372,624"
dallas,Texas,1304379
denver,Colorado,715522
detroit,Michigan,"639,111"
houston,Texas,2314157
indianapolis,Indiana,887642
inglewood,California,"107,762"
los angeles,California,"3,820,914"
memphis,Tennessee,633104
miami,Florida,442241
milwaukee,Wisconsin,"577,222"
minneapolis,Minnesota,429954
new orleans,Louisiana,"383,997"
new york city,New York,8258035
oklahoma city,Oklahoma,681054
orlando,Florida,307573
philadelphia,Pennsylvania,1603797
phoenix,Arizona,1662607
portland,Oregon,"652,503"
sacramento,California,524943
salt lake city,Utah,200133
san antonio,Texas,1434625
san francisco,California,808988
toronto,Ontario,2794356
