name,nba_team,own_year
clay bennett,Oklahoma City Thunder,2006.0
daniel g devos,Orlando Magic,1991.0
daniel gilbert,Cleveland Cavaliers,
enos stanley kroenke,Denver Nuggets,
gayle marie lajaunie bird benson,New Orleans Pelicans,2018.0
herbert simon,Indiana Pacers,1983.0
james lawrence dolan,New York Knicks,
jerry michael reinsdorf,Chicago Bulls,1985.0
joseph chung-hsin tsai,Brooklyn Nets,2019.0
joseph steven lacob,Golden State Warriors,2010.0
joshua jordan harris,Philadelphia 76ers,2011.0
mark cuban,Dallas Mavericks,2000.0
micky arison,Miami Heat,1995.0
steven anthony ballmer,Los Angeles Clippers,
tilman joseph fertitta,Houston Rockets,2017.0
tom gores,Detroit Pistons,2011.0
