name,nba_team,own_year,id,owner.id
clay bennett,Oklahoma City Thunder,2006.0,,
daniel g devos,Orlando Magic,1991.0,,
daniel gilbert,,2005.0,,
enos stanley kroenke,Denver Nuggets,2000.0,,
gayle marie lajaunie bird benson,"New Orleans Saints, New Orleans Pelicans",2014.0,,
herbert simon,Indiana Pacers,1983.0,,
james lawrence dolan,,,,
jerry michael reinsdorf,Chicago Bulls,1985.0,,
joseph chung-hsin tsai,Brooklyn Nets,2019.0,,
joseph steven lacob,Golden State Warriors,2010.0,,
joshua jordan harris,,1990.0,,
mark cuban,Oklahoma City Thunder (as of provided information),2000.0,,
micky arison,Miami Heat,1995.0,,
steven anthony ballmer,,,,
tilman joseph fertitta,Houston Rockets,2017.0,,
tom gores,,1995.0,,
