name,age,nationality
Tom Gores,60,American
Daniel Gilbert,62,American
Steven Anthony Ballmer,68,American
Daniel G. DeVos,66,American
Mark Cuban,65,American
Tilman Joseph Fertitta,66,American
Joseph Chung-Hsin Tsai,59,Taiwanese-Canadian
Clay Bennett,64,American
Herbert Simon,89,American
Jerry Michael Reinsdorf,88,American
Gayle Marie LaJaunie Bird Benson,77,American
Enos Stanley Kroenke,76,American
Joshua Jordan Harris,59,American
James Lawrence Dolan,68,American
Micky Arison,1949,Israeli-American
Joseph Steven Lacob,67,American
