team_name,location,founded_year
Atlanta Hawks,Atlanta,1946
Celtics,Boston,1946
Brooklyn Nets,New York City borough of Brooklyn,1967
"Hornets (original), Bobcats, Hornets","Charlotte, North Carolina",1988
Bulls,Chicago,1966
Cleveland Cavaliers,Cleveland,1970
Mavericks,Dallas,1980
Nuggets,Denver,1967
Pistons,Detroit,1937
Golden State Warriors,San Francisco,1946
Rockets,Houston,1967
Indiana Pacers,Indianapolis,1967
Los Angeles Clippers,Greater Los Angeles area,1970
Lakers,Los Angeles,1946
Memphis Grizzlies,"Memphis, Tennessee",1995
Miami Heat,Miami,1988
Bucks,Milwaukee,1968
Minnesota Timberwolves,Minneapolis,1989
Pelicans,New Orleans,2002
Knicks,New York City,1946
"SuperSonics initially, then Oklahoma City Thunder","Seattle initially, then Oklahoma City",1967
Orlando Magic,"Orlando, Florida",1989
Philadelphia 76ers,Philadelphia metropolitan area,1946
Suns,"Phoenix, Arizona",1968
Trail Blazers,"Portland, Oregon",1970
Kings,"Sacramento, California",1945
San Antonio Spurs,San Antonio,1973
Raptors,Toronto,1995
Utah Jazz,Salt Lake City,1974
Wizards,"Washington, D.C.",1961
