name,nationality,age
aaron williams,American,54
andre jamal drummond,American,32
andrew christian wiggins,Canadian,30
anthony avent,American,56
anthony edwards,American,24
anthony marshon davis,American,32
antonius cleveland,American,31
askia rahman jones,American-Venezuelan,53
ausar xlnc thompson,American,22
austin tyler reaves,American,27
brandan keith wright,American,37
brandon goodwin,American,30
cade parker cunningham,American,24
caleb martin,American,30
calvin ramsey,American,88
carrick felix,American,35
"chavano rainer ""buddy"" hield",Bahamian,33
christopher emmanuel paul,American,40
d'angelo russell,American,29
darnell hillman,American,76
david lattin,American,81
david michineau,French,31
derek grimm,American,51
derrick chievous,American,58
devin armani booker,American,28
devontae cacok,American,29
"dewayne ""d j"" white",American,39
donta hall,American-born naturalized Azerbaijani,28
donyell marshall,American,52
draymond jamal green,American,35
drew edward gordon,American,33
dwayne kenneth schintzius,American,57
ed dahler edward dahler,American,99
"edrice femi ""bam"" adebayo",American,28
elmer h behnke,American,96
erazem lorbek,Slovenian,41
eric johnson jones,American-Spanish,59
erick strickland,American,51
fran curran francis hugh curran,American,103
garfield smith,American,80
garry witts garrett david witts,American,66
gene dyker eugene walter dyker,American,95
gerald madkins,American,56
giannis sina ugo antetokounmpo,Greek and Nigerian,31
greg fillmore gregory paul fillmore,American,78
gregory clinton foster,American,57
guy william rodgers,American,90
hamidou diallo,American,27
harrison bryce jordan barnes,American,33
"harry junior ""the horse"" gallatin",American,98
isiah thomas,American,64
jabari dominic walker,American,23
jack parr,American,89
jaden edward dhananjay ivey,American,23
jahlil okafor,Nigerian-American,30
jaime jaquez,Mexican-American,24
jalen marquis brunson,American,29
jamal crawford,American,45
james patrick walsh,American,95
jarrett jack,American,41
jay vincent jay fletcher vincent,American,66
jaylen marselles brown,American,29
jayson christopher tatum,American,27
jimmy butler,American,36
joel hans embiid,Cameroonian-American,31
john harding lucas,American,72
jonathan malangu kuminga,Congolese,23
jordan lee crawford,American,37
joseph xavier forte,American,44
jrue randall holiday,American,35
"kenneth ""apple"" green",American,66
kermit washington,American,74
kevin wayne durant,American,37
kevin wesley love,American,37
kevon grant looney,American,29
kobe bean bryant,American,47
kurt thomas,American,53
kyle forman anderson,American-Chinese,33
kyle terrell lowry,American,39
kyrie andrew irving,American,33
lamar brandon stevens,American,28
larry robinson,Canadian,74
lavoy allen,American,36
lebron raymone james,American,40
leroy patrick chollet,American,100
lonzo anderson ball,American,28
mark jeffrey radford,American,66
mark price,American,61
"marvin ""mickey"" rottner",American,106
marvin roberts,American,75
max berning fiedler,American,24
michael carter-williams,American,34
michael jeffrey jordan,American,62
miles julian simon,American,49
"monti davis damon william ""monti"" davis",American,67
mychel thompson,American,37
nathaniel thomas huffman,American,50
nicholas william calathes,Greek-American,36
"ogugua ""og"" anunoby",British,28
paul clifton anthony george,American,35
philip douglas jackson,American,80
rick hughes,American,52
rik smits,Dutch,59
rod derline,,73
rodney strickland,American,59
ronald moore,American,37
shaquille rashaun o'neal,American,53
shawn christopher respert,American,53
sidney harold tanenbaum,American,100
stanley m noszka,,105
steve smith,American,56
tim duncan,American,50
tony lorenzo delk,American,51
trayce jackson-davis,American,25
trent tucker,American,65
tyler christopher herro,American,25
vernon maxwell,American,60
victor wembanyama,French,21
walter berry,American,61
wardell stephen curry,American,37
wayne lavern robinson,American,95
william bedford,American,61
zach collins,American,28
zachary thomas lavine,American,30
