team_name,location,founded_year
atlanta hawks,Atlanta,1946
brooklyn nets,Brooklyn,1967
cleveland cavaliers,Cleveland,1970
golden state warriors,San Francisco,1946
indiana pacers,Indianapolis,1967
los angeles clippers,Los Angeles,1970
memphis grizzlies,Memphis,1995
miami heat,Miami,1988
minnesota timberwolves,Minneapolis,1989
oklahoma city thunder,Oklahoma City,1967
orlando magic,Orlando,1989
philadelphia 76ers,Philadelphia,1946
portland trail blazers,Portland,1970
sacramento kings,Sacramento,1923
san antonio spurs,San Antonio,1967
utah jazz,Salt Lake City,1974
