team_name,ownership,championship
Atlanta Hawks,Atlanta Spirit LLC,1
Boston Celtics,,18
Chicago Bulls,,6
Cleveland Cavaliers,Dan Gilbert,1
Dallas Mavericks,Miriam Adelson and Patrick Dumont,1
Denver Nuggets,,1
Detroit Pistons,,3
Golden State Warriors,,7
Houston Rockets,,2
Indiana Pacers,,3
Los Angeles Lakers,Jerry Buss (from 1979),17
Miami Heat,Micky Arison,3
Milwaukee Bucks,Wes Edens and Marc Lasry,2
New York Knicks,James L. Dolan,2
Philadelphia 76ers,Harris Blitzer Sports & Entertainment (HBSE),3
Portland Trail Blazers,Paul Allen,1
Sacramento Kings,,1
San Antonio Spurs,,5
Toronto Raptors,,1
Washington Wizards,Ted Leonsis,1
