city_name,state_name,population,city.id,id
atlanta,Georgia,510823.0,,
boston,Massachusetts,675647.0,,
charlotte,North Carolina,874579.0,,
chicago,Illinois,2746388.0,,
cleveland,Ohio,372624.0,,
dallas,Texas,1304379.0,,
denver,Colorado,715522.0,,
detroit,Michigan,,,
houston,Texas,2314157.0,,
indianapolis,Indiana,887642.0,,
inglewood,California,107762.0,,
los angeles,California,,,
memphis,Tennessee,633104.0,,
miami,Florida,,,
milwaukee,Wisconsin,594833.0,,
minneapolis,Minnesota,369000.0,,
new orleans,Louisiana,383997.0,,
new york city,,,,
oklahoma city,Oklahoma,,,
orlando,Florida,307573.0,,
philadelphia,Pennsylvania,1603797.0,,
phoenix,Arizona,,,
portland,Oregon,1800000.0,,
sacramento,California,466488.0,,
salt lake city,Utah,200133.0,,
san antonio,Texas,1434625.0,,
san francisco,,873965.0,,
toronto,Ontario,2794356.0,,
