name,nba_team,own_year
Tom Gores,Detroit Pistons,2011.0
Daniel Gilbert,Cleveland Cavaliers,
Steven Anthony Ballmer,Los Angeles Clippers,
Daniel G. DeVos,Orlando Magic,1991.0
Mark Cuban,Dallas Mavericks,2000.0
Tilman Joseph Fertitta,Houston Rockets,2017.0
Joseph Chung-Hsin Tsai,Brooklyn Nets,2019.0
Clay Bennett,Oklahoma City Thunder,2006.0
Herbert Simon,Indiana Pacers,1983.0
Jerry Michael Reinsdorf,Chicago Bulls,1985.0
Gayle Marie LaJaunie Bird Benson,New Orleans Pelicans,2018.0
Enos Stanley Kroenke,Denver Nuggets,
Joshua Jordan Harris,Philadelphia 76ers,2011.0
James Lawrence Dolan,New York Knicks,
Micky Arison,Miami Heat,1995.0
Joseph Steven Lacob,Golden State Warriors,2010.0
