name,nationality,age
Antonius Cleveland,American,
Jay Fletcher Vincent,United States,
Nikola Radičević,Serbian,
Francis Hugh Curran Sr.,American,
William Mark Price,American,
David Michineau,French,
Donta Hall,American-born naturalized Azerbaijani,
Erick Strickland,,
David Lattin,American,
Thomas Kimball,,
Derek Grimm,American,
Anthony Davis,,
Brandan Keith Wright,American,
Askia Jones,American-Venezuelan,
Carrick Felix,American,
Mychel Thompson,,
Marv Roberts,American,
"Kenneth ""Apple"" Green",American,
Gerald Madkins Jr.,American,
Donald Robert Anielak,American,
Phil Jackson,,
Anthony Avent,American,
Drew Gordon,American,
Jarrett Jack,American,
Rick Hughes,American,
Lavoy Allen,American,
Ed Dahler,American,
Earvin Johnson Jr.,,
Stanley M. Noszka,,
Isiah Thomas,American,
Daniel Edward Anderson,American,
Jahlil Okafor,Nigerian-American,
Trent Tucker,American,
Dwayne Kenneth Schintzius,American,
Miles Julian Simon,"American (father), Norwegian (mother)",
Guy William Rodgers,American,
Vernon Maxwell,American,
Tim Duncan,American,
Walter Berry,American,
James Patrick Walsh,American,
Tony Delk,American,
Calvin Ramsey,,
Eugene Walter Dyker,,
Derrick Joseph Chievous,,
Rik Smits,Dutch,
Anthony Edwards,American,
Harry Gallatin,American,
James J. Brasco,,
Darnell Hillman,,
Larry Robinson,Canadian,
Nicholas William Calathes,Greek-American,
Rod Derline,,
Kurt Vincent Thomas,American,
Kevin Durant,American,
Aaron Williams,American,
Nathaniel Thomas Huffman,,
Freddie L. Boyd,American,
William Bedford,American,
Steve Smith,American,
Shawn Christopher Respert,American,
Rod Strickland,American,
Elmer H. Behnke,,
Lamar Brandon Stevens,American,
Ronald Moore,American,
Erazem Lorbek,Slovenian,
Marvin 'Mickey' Rottner,American,
Hamidou Diallo,American,
"Dewayne 'D. J.' White, Jr.",,
Stephen Douglas Kerr,American,
Gregory Clinton Foster,American,
William Severlyn Hewitt,American,
Joseph Xavier Forte,American,
Dino Rađa,Croatian,
Mark Jeffrey Radford,American,
Konstantinos Papanikolaou,Greek,
Garrett David Witts,American,
Jabari Dominic Walker,,
Devontae Cacok,American,
Brandon Goodwin,American,
Richard Anthony Rosenthal,American,
Aaron Jamal Crawford,,
Jordan Lee Crawford,American,
Thomas James Copa,American,
Kermit Alan Washington,,
Donyell Lamar Marshall,,
Wayne Lavern Robinson,,
Gregory Paul Fillmore,,
John Harding Lucas II,American,
Richard Clifford Surhoff Jr.,American,
Garfield Smith,American,
Leroy Chollet,American,
Michael Carter-Williams,American,
Dennis Schröder,German,
Jack Parr,,
Monti Davis,American,
Eric Johnson Jones,American-Spanish,
Sidney Harold Tanenbaum,American,
Trayce Jackson-Davis,American,
Andre Drummond,American,
Buddy Hield,Bahamian,
D'Angelo Russell,American,
Joel Embiid,Cameroonian-American,
Paul George,American,
Kyrie Irving,American,
Jayson Christopher Tatum,American,
Caleb Martin,American,
Andrew Christian Wiggins,Canadian,
Max Fiedler,American,
OG Anunoby Jr.,British,
Jaylen Marselles Brown,,
Victor Wembanyama,French,
Jrue Holiday,American,
Austin Reaves,American,
Kevin Love,American,
Giannis Antetokounmpo,Greek and Nigerian,
Stephen Curry,,
Al Horford,Dominican Republic,
Tyler Christopher Herro,American,
,,
Kyle Anderson (basketball),American-Chinese,
Cade Cunningham,American,
LeBron James,American,
Jimmy Butler,American,
Kevon Looney,American,
Zach LaVine,American,
Jaden Edward Dhananjay Ivey,American,
Kyle Lowry,American,
Michael Jeffrey Jordan,,
Devin Booker,,
Draymond Jamal Green,American,
Zach Collins,American,
Jonathan Kuminga,Congolese,
Lonzo Anderson Ball,American,
Jaime Jaquez Jr.,Mexican-American (dual citizen),
Ausar XLNC Thompson,American,
Jalen Marquis Brunson,American,
Shaquille O'Neal,,
Kobe Bryant,,
Chris Paul,American,
Harrison Bryce Jordan Barnes,American,
Bam Adebayo,Nigerian-American,
