name,nationality,age,team_name,location,id,player.id,team.id
andre jamal drummond,American,31.0,Philadelphia 76ers,"Philadelphia, Pennsylvania",,,
andrew christian wiggins,Canadian,28.0,Golden State Warriors,San Francisco,,,
anthony edwards,American,23.0,Minnesota Timberwolves,Minneapolis,,,
anthony marshon davis,American,30.0,Los Angeles Lakers,Los Angeles,,,
austin tyler reaves,American,26.0,Los Angeles Lakers,Los Angeles,,,
brandan keith wright,American,36.0,Golden State Warriors,San Francisco,,,
caleb martin,American,30.0,Philadelphia 76ers,"Philadelphia, Pennsylvania",,,
"chavano rainer ""buddy"" hield",Bahamian,31.0,Philadelphia 76ers,"Philadelphia, Pennsylvania",,,
christopher emmanuel paul,American,38.0,Phoenix Suns,"Phoenix, Arizona",,,
darnell hillman,American,74.0,Indiana Pacers,Indianapolis,,,
derek grimm,American,49.0,Sacramento Kings,"Sacramento, California",,,
derrick chievous,American,56.0,Houston Rockets,"Houston, TX",,,
devin armani booker,American,27.0,Phoenix Suns,"Phoenix, Arizona",,,
draymond jamal green,,33.0,Golden State Warriors,San Francisco,,,
drew edward gordon,American,33.0,Philadelphia 76ers,"Philadelphia, Pennsylvania",,,
duncan mcbryde robinson,American,29.0,Miami Heat,Miami,,,
eric johnson jones,American-Spanish,57.0,Utah Jazz,Salt Lake City,,,
garfield smith,American,78.0,Boston Celtics,Boston,,,
harrison bryce jordan barnes,American,32.0,San Antonio Spurs,San Antonio,,,
jaime jaquez,Mexican-American,23.0,Miami Heat,Miami,,,
jamal crawford,American,43.0,Brooklyn Nets,Brooklyn,,,
jayson christopher tatum,American,26.0,Boston Celtics,Boston,,,
jimmy butler,American,34.0,Miami Heat,Miami,,,
joel hans embiid,Cameroonian-American,29.0,Philadelphia 76ers,"Philadelphia, Pennsylvania",,,
john harding lucas,American,70.0,Houston Rockets,"Houston, TX",,,
jonathan malangu kuminga,Congolese,22.0,Golden State Warriors,San Francisco,,,
jrue randall holiday,American,34.0,Boston Celtics,Boston,,,
kevin wayne durant,American,35.0,Phoenix Suns,"Phoenix, Arizona",,,
kevin wesley love,American,35.0,Miami Heat,Miami,,,
kevon grant looney,American,28.0,Golden State Warriors,San Francisco,,,
kobe bean bryant,American,42.0,Los Angeles Lakers,Los Angeles,,,
kurt thomas,American,,Knicks,New York City,,,
kyle forman anderson,American-Chinese,31.0,Golden State Warriors,San Francisco,,,
kyle terrell lowry,American,37.0,Toronto Raptors,Toronto,,,
kyrie andrew irving,American and Australian,32.0,Brooklyn Nets,Brooklyn,,,
lamar brandon stevens,American,27.0,Memphis Grizzlies,"Memphis, TN",,,
lavoy allen,American,34.0,Philadelphia 76ers,"Philadelphia, Pennsylvania",,,
lebron raymone james,American,39.0,Miami Heat,Miami,,,
lonzo anderson ball,American,27.0,Chicago Bulls,Chicago,,,
max berning fiedler,American,23.0,Philadelphia 76ers,"Philadelphia, Pennsylvania",,,
miles julian simon,American,48.0,Phoenix Suns,"Phoenix, Arizona",,,
paul clifton anthony george,American,33.0,Los Angeles Clippers,Los Angeles,,,
rik smits,Dutch,57.0,Indiana Pacers,Indianapolis,,,
shaquille rashaun o'neal,American,,Miami Heat,Miami,,,
steve kerr,American,59.0,Golden State Warriors,San Francisco,,,
trayce jackson-davis,American,23.0,Golden State Warriors,San Francisco,,,
tyler christopher herro,American,24.0,Miami Heat,Miami,,,
vernon maxwell,American,58.0,Houston Rockets,"Houston, TX",,,
victor wembanyama,French,20.0,San Antonio Spurs,San Antonio,,,
zach collins,American,27.0,San Antonio Spurs,San Antonio,,,
zachary thomas lavine,American,29.0,Chicago Bulls,Chicago,,,
