name,position,team_name,founded_year,id,player.id,team.id
andre jamal drummond,C,Philadelphia 76ers,1946.0,,,
andrew christian wiggins,forward,Golden State Warriors,1946.0,,,
anthony marshon davis,power forward and center,Los Angeles Lakers,1946.0,,,
austin tyler reaves,basketball player,Los Angeles Lakers,1946.0,,,
caleb martin,small forward,Philadelphia 76ers,1946.0,,,
"chavano rainer ""buddy"" hield",guard,Golden State Warriors,1946.0,,,
christopher emmanuel paul,point guard,San Antonio Spurs,1967.0,,,
d'angelo russell,point guard,Los Angeles Lakers,1946.0,,,
darnell hillman,Forward,Indiana Pacers,1967.0,,,
draymond jamal green,power forward,Golden State Warriors,1946.0,,,
drew edward gordon,power forward,Philadelphia 76ers,1946.0,,,
duncan mcbryde robinson,shooting guard,Miami Heat,1988.0,,,
giannis sina ugo antetokounmpo,Power Forward,Milwaukee Bucks,1968.0,,,
"harry junior ""the horse"" gallatin",center,New York Knicks,1946.0,,,
isiah thomas,Point Guard,Detroit Pistons,1937.0,,,
jay vincent jay fletcher vincent,forward,Dallas Mavericks,1980.0,,,
jaylen marselles brown,shooting guard,Boston Celtics,1946.0,,,
jimmy butler,Shooting Guard/Small Forward,Miami Heat,1988.0,,,
jrue randall holiday,point guard,Boston Celtics,1946.0,,,
"kenneth ""apple"" green",basketball,New York Knicks,1946.0,,,
kermit washington,forward,Los Angeles Lakers,1946.0,,,
kevin wayne durant,basketball player,Phoenix Suns,1968.0,,,
kevin wesley love,power forward/center,Miami Heat,1988.0,,,
kevon grant looney,center,Golden State Warriors,1946.0,,,
kurt thomas,power forward-center,New York Knicks,1946.0,,,
kyle terrell lowry,Point Guard,Toronto Raptors,1995.0,,,
kyrie andrew irving,point guard,Brooklyn Nets,1967.0,,,
lebron raymone james,forward,Los Angeles Lakers,1946.0,,,
lonzo anderson ball,point guard,Chicago Bulls,1966.0,,,
magic johnson,Point Guard,Los Angeles Lakers,1946.0,,,
miles julian simon,Guard,Phoenix Suns,1968.0,,,
"ogugua ""og"" anunoby",forward/guard,New York Knicks,1946.0,,,
paul clifton anthony george,Forwards,Los Angeles Clippers,1970.0,,,
philip douglas jackson,Power Forward,New York Knicks,1946.0,,,
rik smits,Center,Indiana Pacers,1967.0,,,
shaquille rashaun o'neal,center,Orlando Magic,1989.0,,,
steve kerr,shooting guard,Golden State Warriors,1946.0,,,
tim duncan,power forward,San Antonio Spurs,1967.0,,,
trent tucker,shooting guard,New York Knicks,1946.0,,,
wardell stephen curry,Point Guard,Golden State Warriors,1946.0,,,
zach collins,center,San Antonio Spurs,1967.0,,,
zachary thomas lavine,point guard,Chicago Bulls,1966.0,,,
