name,team_name,city_name,state_name
andre jamal drummond,Philadelphia 76ers,Philadelphia,Pennsylvania
andrew christian wiggins,Golden State Warriors,San Francisco,California
ausar xlnc thompson,Detroit Pistons,Detroit,Michigan
brandan keith wright,Houston Rockets,Houston,Texas
cade parker cunningham,Detroit Pistons,Detroit,Michigan
caleb martin,Philadelphia 76ers,Philadelphia,Pennsylvania
"chavano rainer ""buddy"" hield",Golden State Warriors,San Francisco,California
draymond jamal green,Golden State Warriors,San Francisco,California
drew edward gordon,Philadelphia 76ers,Philadelphia,Pennsylvania
isiah thomas,Detroit Pistons,Detroit,Michigan
jaden edward dhananjay ivey,Detroit Pistons,Detroit,Michigan
jarrett jack,Detroit Pistons,Detroit,Michigan
joel hans embiid,Philadelphia 76ers,Philadelphia,Pennsylvania
jonathan malangu kuminga,Golden State Warriors,San Francisco,California
kevon grant looney,Golden State Warriors,San Francisco,California
max berning fiedler,Philadelphia 76ers,Philadelphia,Pennsylvania
steve kerr,Golden State Warriors,San Francisco,California
trayce jackson-davis,Golden State Warriors,San Francisco,California
wardell stephen curry,Golden State Warriors,San Francisco,California
