name,position,city_name,population
anthony edwards,Backcourt,Minneapolis,429954
anthony marshon davis,Frontcourt,Los Angeles,"3,820,914"
ausar xlnc thompson,,Detroit,"639,111"
austin tyler reaves,,Los Angeles,"3,820,914"
cade parker cunningham,,Detroit,"639,111"
d'angelo russell,Backcourt,Los Angeles,"3,820,914"
jaden edward dhananjay ivey,,Detroit,"639,111"
jalen marquis brunson,,New York City,8258035
jaylen marselles brown,Backcourt,Boston,675647
jayson christopher tatum,,Boston,675647
lamar brandon stevens,,Memphis,633104
"ogugua ""og"" anunoby",,New York City,8258035
victor wembanyama,Frontcourt,San Antonio,1434625
zach collins,,San Antonio,1434625
