name,position,city_name,population,city.id,id,player.id,team.id
anthony edwards,SG,,0.0,,,,
anthony marshon davis,power forward and center,Los Angeles,3820914.0,,,,
ausar xlnc thompson,forward/guard,Detroit,639111.0,,,,
austin tyler reaves,guard,Los Angeles,3820914.0,,,,
cade parker cunningham,point guard,Detroit,639111.0,,,,
d'angelo russell,point guard,Los Angeles,3820914.0,,,,
jaden edward dhananjay ivey,player,Detroit,639111.0,,,,
jalen marquis brunson,point guard,New York City,8258035.0,,,,
jaylen marselles brown,shooting guard / small forward,,0.0,,,,
jayson christopher tatum,small forward,,0.0,,,,
lamar brandon stevens,forward,,0.0,,,,
"ogugua ""og"" anunoby",forward,New York City,8258035.0,,,,
victor wembanyama,center/forward,San Antonio,1434625.0,,,,
zach collins,center,San Antonio,1434625.0,,,,
