name,college,team_name,gdp
andrew christian wiggins,Kansas Jayhawks,Golden State Warriors,252200
brandan keith wright,University of North Carolina at Chapel Hill,Houston Rockets,
"chavano rainer ""buddy"" hield",Oklahoma Sooners,Golden State Warriors,252200
draymond jamal green,Michigan State University,Golden State Warriors,252200
giannis sina ugo antetokounmpo,,Milwaukee Bucks,"102,000,000,000"
jaylen marselles brown,"University of California, Berkeley",Boston Celtics,
jonathan malangu kuminga,,Golden State Warriors,252200
jrue randall holiday,UCLA,Boston Celtics,
kevon grant looney,UCLA,Golden State Warriors,252200
shaquille rashaun o'neal,Louisiana State University (LSU),Boston Celtics,
steve kerr,University of Arizona,Golden State Warriors,252200
trayce jackson-davis,Indiana Hoosiers,Golden State Warriors,252200
wardell stephen curry,Davidson,Golden State Warriors,252200
zachary thomas lavine,UCLA,Chicago Bulls,689000
