name,team_name,city_name,state_name
Jahlil Okafor,Philadelphia 76ers,Philadelphia,Pennsylvania
Jarrett Jack,Detroit Pistons,Detroit,Michigan
Isiah Thomas,Detroit Pistons,Detroit,Michigan
Brandan Keith Wright,Golden State Warriors,San Francisco,California
Andrew Wiggins,Golden State Warriors,San Francisco,California
Steve Kerr,Golden State Warriors,San Francisco,California
Fred Boyd,Philadelphia 76ers,Philadelphia,Pennsylvania
Cade Cunningham,Detroit Pistons,Detroit,Michigan
Trayce Jackson-Davis,Golden State Warriors,San Francisco,California
Draymond Green,Golden State Warriors,San Francisco,California
Ausar Thompson,Detroit Pistons,Detroit,Michigan
Joel Embiid,Philadelphia 76ers,Philadelphia,Pennsylvania
Jaden Ivey,Detroit Pistons,Detroit,Michigan
Anthony Avent,Bucks,Milwaukee,Wisconsin
Michael Carter-Williams,Philadelphia 76ers,Philadelphia,Pennsylvania
Andre Drummond,Detroit Pistons,Detroit,Michigan
Buddy Hield,Philadelphia 76ers,Philadelphia,Pennsylvania
Stephen Curry,Golden State Warriors,San Francisco,California
Jonathan Kuminga,Golden State Warriors,San Francisco,California
Caleb Martin,Philadelphia 76ers,Philadelphia,Pennsylvania
Kevon Looney,Golden State Warriors,San Francisco,California
Drew Gordon,Philadelphia 76ers,Philadelphia,Pennsylvania
Max Fiedler,Philadelphia 76ers,Philadelphia,Pennsylvania
