name,nationality,age,team_name,location
Anthony Edwards,American,23.0,Minnesota Timberwolves,Minneapolis
Ogugua 'OG' Anunoby Jr.,British,27.0,New York Knicks,New York City
Steve Kerr,American,59.0,Golden State Warriors,San Francisco
Andre Drummond,American,31.0,Philadelphia 76ers,Philadelphia
Max Fiedler,American,23.0,Philadelphia 76ers,Philadelphia
Shawn Christopher Respert,American,52.0,Toronto Raptors,Toronto
LeBron James,American,39.0,Miami Heat,Miami
Fred Boyd,American,22.0,Philadelphia 76ers,Philadelphia
Jaime Jaquez Jr.,Mexican-American,23.0,Miami Heat,Miami
Timothy Theodore Duncan,American,48.0,San Antonio Spurs,San Antonio
Devin Booker,American,27.0,Phoenix Suns,"Phoenix, Arizona"
Lavoy Allen,American,34.0,Philadelphia 76ers,Philadelphia
Carrick Felix,American,32.0,Cleveland Cavaliers,Cleveland
Lonzo Ball,American,27.0,Chicago Bulls,Chicago
Jaylen Brown,American,28.0,Boston Celtics,Boston
Vernon Maxwell,American,57.0,Houston Rockets,Downtown Houston
Draymond Green,American,33.0,Golden State Warriors,San Francisco
John Lucas II,American,70.0,Houston Rockets,Downtown Houston
Victor Wembanyama,French,20.0,San Antonio Spurs,San Antonio
Jimmy Butler,American,34.0,Miami Heat,Miami
Rik Smits,Dutch,57.0,Indiana Pacers,Indianapolis
Kyle Lowry,American,37.0,Toronto Raptors,Toronto
Harrison Bryce Jordan Barnes,American,32.0,San Antonio Spurs,San Antonio
Lamar Brandon Stevens,American,27.0,Memphis Grizzlies,"Memphis, Tennessee"
Bam Adebayo,American,25.0,Miami Heat,Miami
Caleb Martin,American,28.0,Philadelphia 76ers,Philadelphia
Shaquille O'Neal,American,nan,Miami Heat,Miami
Dino Rađa,Croatian,56.0,Boston Celtics,Boston
Jrue Holiday,American,34.0,Boston Celtics,Boston
Kobe Bryant,American,42.0,Los Angeles Lakers,Los Angeles
Ken Green,American,64.0,New York Knicks,New York City
Paul George,American,33.0,Los Angeles Clippers,Los Angeles
Darnell Hillman,American,74.0,Indiana Pacers,Indianapolis
Kyrie Irving,American,32.0,Brooklyn Nets,Brooklyn
Buddy Hield,Bahamas,26.0,Philadelphia 76ers,Philadelphia
Jayson Tatum,American,26.0,Boston Celtics,Boston
Jahlil Okafor,Nigerian-American,26.0,New Orleans Pelicans,New Orleans
Don Anielak,American,65.0,New York Knicks,New York City
Jamal Crawford,American,43.0,Chicago Bulls,Chicago
Thomas Kimball,American,74.0,Boston Celtics,Boston
Zach Collins,American,27.0,San Antonio Spurs,San Antonio
Dwayne Schintzius,American,43.0,San Antonio Spurs,San Antonio
Al Horford,Dominican,38.0,Boston Celtics,Boston
Cal Ramsey,American,82.0,New York Knicks,New York City
Garry Witts,American,64.0,Bullets,"Washington, D.C."
Kevin Love,American,35.0,Miami Heat,Miami
Dennis Schröder,German,31.0,Brooklyn Nets,Brooklyn
Phil Jackson,American,78.0,Chicago Bulls,Chicago
Derrick Chievous,American,56.0,Houston Rockets,Downtown Houston
Tyler Herro,American,24.0,Miami Heat,Miami
Anthony Avent,American,54.0,Bucks,Milwaukee
Austin Tyler Reaves,American,26.0,Los Angeles Lakers,Los Angeles
Trayce Jackson-Davis,American,23.0,Golden State Warriors,San Francisco
Chris Paul,American,38.0,Phoenix Suns,"Phoenix, Arizona"
Joel Embiid,Cameroonian-American,29.0,Philadelphia 76ers,Philadelphia
Stephen Curry,American,35.0,Golden State Warriors,San Francisco
Duncan McBryde Robinson,American,29.0,Miami Heat,Miami
Andrew Christian Wiggins,Canadian,29.0,Golden State Warriors,San Francisco
Anthony Davis,American,30.0,Los Angeles Lakers,Los Angeles
Jonathan Malangu Kuminga,Congolese,22.0,Golden State Warriors,San Francisco
Kevin Wayne Durant,American,35.0,Brooklyn Nets,Brooklyn
Zach LaVine,American,29.0,Chicago Bulls,Chicago
,American,20.0,Los Angeles Lakers,Los Angeles
Kyle Forman Anderson,American-Chinese,31.0,Golden State Warriors,San Francisco
Brandan Keith Wright,American,36.0,Golden State Warriors,San Francisco
Jalen Brunson,American,27.0,New York Knicks,New York City
Drew Edward Gordon,American,34.0,Philadelphia 76ers,Philadelphia
Michael Carter-Williams,American,32.0,Orlando Magic,"Orlando, Florida"
Kevon Looney,American,28.0,Golden State Warriors,San Francisco
