name,team_name,city_name,state_name
Jay Vincent Jay Fletcher Vincent,Los Angeles Lakers,Los Angeles,California
Mark Price,Orlando Magic,Orlando,Florida
Erick Strickland,Milwaukee Bucks,Milwaukee,Wisconsin
Derek Grimm,Sacramento Kings,Sacramento,California
Anthony Marshon Davis Jr.,Los Angeles Lakers,Los Angeles,California
Brandan Keith Wright,Houston Rockets,Houston,Texas
"Kenneth ""Apple"" Green",New York Knicks,New York City,New York
Don Anielak,New York Knicks,New York City,New York
Philip Douglas Jackson,Los Angeles Lakers,Los Angeles,California
Drew Edward Gordon,Philadelphia 76ers,Philadelphia,Pennsylvania
Jarrett Jack,Detroit Pistons,Detroit,Michigan
Lavoy Allen,Philadelphia 76ers,Philadelphia,Pennsylvania
Magic Johnson,Los Angeles Lakers,Los Angeles,California
Stanley M. Noszka,Boston Celtics,Boston,Massachusetts
Isiah Thomas,Detroit Pistons,Detroit,Michigan
Dan Anderson,Portland Trail Blazers,Portland,Oregon
Trent Tucker,Chicago Bulls,Chicago,Illinois
Miles Julian Simon,Phoenix Suns,Phoenix,Arizona
Guy William Rodgers,Milwaukee Bucks,Milwaukee,Wisconsin
Vernon Maxwell,Dallas Mavericks,Dallas,Texas
Tim Duncan,San Antonio Spurs,San Antonio,Texas
Calvin Ramsey,New York Knicks,New York City,New York
Derrick Chievous,Cleveland Cavaliers,Cleveland,Ohio
Rik Smits,Indiana Pacers,Indianapolis,Indiana
Anthony Edwards,Minnesota Timberwolves,Minneapolis,Minnesota
"Harry Junior ""The Horse"" Gallatin",Detroit Pistons,Detroit,Michigan
Darnell Hillman,Golden State Warriors,San Francisco,California
Kurt Thomas,New York Knicks,New York City,New York
Kevin Wayne Durant,Phoenix Suns,Phoenix,Arizona
Aaron Williams,Los Angeles Clippers,Los Angeles,California
Nathaniel Thomas Huffman,Toronto Raptors,Toronto,Ontario
Rodney Strickland,Houston Rockets,Houston,Texas
Lamar Brandon Stevens,Memphis Grizzlies,Memphis,Tennessee
Steve Kerr,Golden State Warriors,San Francisco,California
Gregory Clinton Foster,Indiana Pacers,Indianapolis,Indiana
Bill Hewitt,Los Angeles Lakers,Los Angeles,California
Jabari Dominic Walker,Portland Trail Blazers,Portland,Oregon
Kermit Washington,Golden State Warriors,San Francisco,California
Greg Fillmore Gregory Paul Fillmore,New York Knicks,New York City,New York
John Harding Lucas II,Houston Rockets,Houston,Texas
Garfield Smith,Boston Celtics,Boston,Massachusetts
"Monti Davis DaMon William ""Monti"" Davis",Dallas Mavericks,Dallas,Texas
Eric Johnson Jones,Utah Jazz,Salt Lake City,Utah
Trayce Jackson-Davis,Golden State Warriors,San Francisco,California
Andre Jamal Drummond,Philadelphia 76ers,Philadelphia,Pennsylvania
"Chavano Rainer ""Buddy"" Hield",Golden State Warriors,San Francisco,California
D'Angelo Russell,Los Angeles Lakers,Los Angeles,California
Joel Hans Embiid,Philadelphia 76ers,Philadelphia,Pennsylvania
Paul Clifton Anthony George,Philadelphia 76ers,Philadelphia,Pennsylvania
Kyrie Andrew Irving,Dallas Mavericks,Dallas,Texas
Jayson Christopher Tatum,Boston Celtics,Boston,Massachusetts
Caleb Martin,Philadelphia 76ers,Philadelphia,Pennsylvania
Andrew Christian Wiggins,Golden State Warriors,San Francisco,California
Max Berning Fiedler,Philadelphia 76ers,Philadelphia,Pennsylvania
"Ogugua ""OG"" Anunoby Jr.",New York Knicks,New York City,New York
Jaylen Marselles Brown,Boston Celtics,Boston,Massachusetts
Victor Wembanyama,San Antonio Spurs,San Antonio,Texas
Jrue Randall Holiday,Boston Celtics,Boston,Massachusetts
Austin Tyler Reaves,Los Angeles Lakers,Los Angeles,California
Kevin Wesley Love,Miami Heat,Miami,Florida
Giannis Sina Ugo Antetokounmpo,Milwaukee Bucks,Milwaukee,Wisconsin
Wardell Stephen Curry II,Golden State Warriors,San Francisco,California
Alfred Joel Horford Reynoso,Boston Celtics,Boston,Massachusetts
Tyler Christopher Herro,Miami Heat,Miami,Florida
Duncan McBryde Robinson,Miami Heat,Miami,Florida
Kyle Forman Anderson,Golden State Warriors,San Francisco,California
Cade Parker Cunningham,Detroit Pistons,Detroit,Michigan
LeBron Raymone James Sr.,Los Angeles Lakers,Los Angeles,California
Jimmy Butler III,Miami Heat,Miami,Florida
Kevon Grant Looney,Golden State Warriors,San Francisco,California
Zachary Thomas LaVine,Chicago Bulls,Chicago,Illinois
Jaden Edward Dhananjay Ivey,Detroit Pistons,Detroit,Michigan
Kyle Terrell Lowry,Philadelphia 76ers,Philadelphia,Pennsylvania
Devin Armani Booker,Phoenix Suns,Phoenix,Arizona
Draymond Jamal Green,Golden State Warriors,San Francisco,California
Zach Collins,San Antonio Spurs,San Antonio,Texas
Jonathan Malangu Kuminga,Golden State Warriors,San Francisco,California
Lonzo Anderson Ball,Chicago Bulls,Chicago,Illinois
Jaime Jaquez Jr.,Miami Heat,Miami,Florida
Ausar XLNC Thompson,Detroit Pistons,Detroit,Michigan
Jalen Marquis Brunson,New York Knicks,New York City,New York
Shaquille Rashaun O'Neal,Boston Celtics,Boston,Massachusetts
Kobe Bean Bryant,Los Angeles Lakers,Los Angeles,California
Christopher Emmanuel Paul,San Antonio Spurs,San Antonio,Texas
Harrison Bryce Jordan Barnes,San Antonio Spurs,San Antonio,Texas
"Edrice Femi ""Bam"" Adebayo",Miami Heat,Miami,Florida
