name,team_name,city_name,state_name,city.id,id,player.id,team.id
andre jamal drummond,Detroit Pistons,Detroit,Michigan,,,,
andrew christian wiggins,Golden State Warriors,San Francisco,California,,,,
ausar xlnc thompson,Detroit Pistons,Detroit,Michigan,,,,
brandan keith wright,Golden State Warriors,San Francisco,California,,,,
cade parker cunningham,Detroit Pistons,Detroit,Michigan,,,,
draymond jamal green,Golden State Warriors,San Francisco,California,,,,
duncan mcbryde robinson,Miami Heat,Miami,Florida,,,,
"edrice femi ""bam"" adebayo",Miami Heat,Miami,Florida,,,,
isiah thomas,Detroit Pistons,Detroit,Michigan,,,,
jaden edward dhananjay ivey,Detroit Pistons,Detroit,Michigan,,,,
jaime jaquez,Miami Heat,Miami,Florida,,,,
jarrett jack,Denver Nuggets,Denver,Colorado,,,,
jimmy butler,Miami Heat,Miami,Florida,,,,
jonathan malangu kuminga,Golden State Warriors,San Francisco,California,,,,
kevon grant looney,Golden State Warriors,San Francisco,California,,,,
kyle forman anderson,Golden State Warriors,San Francisco,California,,,,
steve kerr,Golden State Warriors,San Francisco,California,,,,
trayce jackson-davis,Golden State Warriors,San Francisco,California,,,,
tyler christopher herro,Miami Heat,Miami,Florida,,,,
wardell stephen curry,Golden State Warriors,San Francisco,California,,,,
