name,college,team_name,gdp,city.id,id,player.id,team.id
andre jamal drummond,Connecticut Huskies,Detroit Pistons,218000000000.0,,,,
andrew christian wiggins,Kansas,Golden State Warriors,252.2,,,,
anthony edwards,Georgia,Minnesota Timberwolves,,,,,
ausar xlnc thompson,,Detroit Pistons,218000000000.0,,,,
cade parker cunningham,Oklahoma State,Detroit Pistons,218000000000.0,,,,
"chavano rainer ""buddy"" hield",Oklahoma Sooners,Golden State Warriors,252.2,,,,
draymond jamal green,Michigan State Spartans,Golden State Warriors,252.2,,,,
isiah thomas,Indiana,Detroit Pistons,218000000000.0,,,,
jaden edward dhananjay ivey,Purdue,Detroit Pistons,218000000000.0,,,,
jay vincent jay fletcher vincent,Michigan State Spartans,Dallas Mavericks,,,,,
joel hans embiid,Kansas Jayhawks,Philadelphia 76ers,,,,,
jonathan malangu kuminga,,Golden State Warriors,252.2,,,,
jrue randall holiday,UCLA,Boston Celtics,84500.0,,,,
kevon grant looney,UCLA,Golden State Warriors,252.2,,,,
kyrie andrew irving,,,,,,,
lavoy allen,Temple University,Philadelphia 76ers,,,,,
"monti davis damon william ""monti"" davis",Tennessee State University,Philadelphia 76ers,,,,,
paul clifton anthony george,Fresno State,Philadelphia 76ers,,,,,
shaquille rashaun o'neal,LSU,Orlando Magic,,,,,
steve kerr,Arizona Wildcats,Golden State Warriors,252.2,,,,
trayce jackson-davis,Indiana,Golden State Warriors,252.2,,,,
wardell stephen curry,Davidson,Golden State Warriors,252.2,,,,
zachary thomas lavine,UCLA,Chicago Bulls,689000000000.0,,,,
