name,position,team_name,founded_year
Draymond Green,power forward,Golden State Warriors,1946.0
Kevin Love,power forward/center,Miami Heat,1988.0
Duncan McBryde Robinson,point guard,Miami Heat,1988.0
Bam Adebayo,Power Forward/Center,Miami Heat,1988.0
Vernon Maxwell,shooting guard,Houston Rockets,1967.0
Isiah Thomas,player,Detroit Pistons,1937.0
Zach Collins,Center,San Antonio Spurs,1967.0
Harry Gallatin,center,New York Knicks,1946.0
Buddy Hield,Guard,Golden State Warriors,1946.0
Andre Drummond,C,Philadelphia 76ers,1946.0
Jimmy Butler,Shooting Guard/Small Forward,Miami Heat,1988.0
Lavoy Allen,Center,Philadelphia 76ers,1946.0
Derek Grimm,forward,Sacramento Kings,1923.0
Austin Reaves,player,Los Angeles Lakers,1946.0
Trent Tucker,shooting guard,New York Knicks,1946.0
Earvin 'Magic' Johnson Jr.,Point Guard,Los Angeles Lakers,1946.0
OG Anunoby,forward/guard,New York Knicks,1946.0
Kyrie Irving,PG,Brooklyn Nets,1967.0
John Harding Lucas II,Player,Houston Rockets,1967.0
Jahlil Okafor,center/power forward,New Orleans Pelicans,2002.0
Kermit Washington,forward,Los Angeles Lakers,1946.0
Chris Paul,point guard,Phoenix Suns,1968.0
Shaquille Rashaun O'Neal,center,Los Angeles Lakers,1946.0
Darnell Hillman,Forward,Indiana Pacers,1967.0
Bill Hewitt,forward,Los Angeles Lakers,1946.0
Rik Smits,Center,Indiana Pacers,1967.0
Steve Kerr,Guard,Chicago Bulls,1966.0
Dennis Schröder,basketball player,Brooklyn Nets,1967.0
Drew Edward Gordon,power forward,Philadelphia 76ers,1946.0
Ken Green,basketball,New York Knicks,1946.0
Kurt Thomas,power forward-center,New York Knicks,1946.0
Gerald Madkins,Guard,New York Knicks,1946.0
Jrue Holiday,point guard,Boston Celtics,1946.0
Lonzo Anderson Ball,point guard,Chicago Bulls,1966.0
Jay Vincent,forward,Dallas Mavericks,1980.0
Caleb Martin,small forward,Philadelphia 76ers,1946.0
Kobe Bryant,shooting guard,Los Angeles Lakers,1946.0
Kevin Wayne Durant,basketball player,Phoenix Suns,1968.0
nan,,Phoenix Suns,1968.0
Zach LaVine,point guard,Chicago Bulls,1966.0
Kyle Lowry,point guard,Toronto Raptors,1995.0
Kevon Looney,center,Golden State Warriors,1946.0
Jaylen Marselles Brown,shooting guard,Boston Celtics,1946.0
Jalen Marquis Brunson,Point Guard,New York Knicks,1946.0
LeBron James,forward,Los Angeles Lakers,1946.0
Andrew Wiggins,forward,Golden State Warriors,1946.0
Al Horford,center,Boston Celtics,1946.0
Phil Jackson,Power Forward,New York Knicks,1946.0
Anthony Marshon Davis Jr.,power forward and center,New Orleans Pelicans,2002.0
Tim Duncan,power forward,San Antonio Spurs,1967.0
D'Angelo Russell,point guard,Los Angeles Lakers,1946.0
Michael Jeffrey Jordan,guard,Chicago Bulls,1966.0
