team_name,location,city_name,state_name
Golden State Warriors,San Francisco,San Francisco,California
Lakers,Los Angeles,Los Angeles,California
Philadelphia 76ers,Philadelphia,Philadelphia,Pennsylvania
Bucks,Milwaukee,Milwaukee,Wisconsin
Raptors,Toronto,Toronto,Ontario
Detroit Pistons,Detroit,Detroit,Michigan
Cavaliers,Cleveland,Cleveland,Ohio
Knicks,New York,New York,New York
Denver Nuggets,Denver,Denver,Colorado
Miami Heat,Miami,Miami,Florida
Utah Jazz,Salt Lake City,Salt Lake City,Utah
Bulls,Chicago,Chicago,Illinois
