name,college,team_name,gdp
Kevon Looney,UCLA,Golden State Warriors,252.2
Donyell Marshall,University of Connecticut,Minnesota Timberwolves,nan
Kyrie Irving,,,nan
Anthony Edwards,Georgia,Minnesota Timberwolves,nan
Steve Kerr,Arizona Wildcats,Golden State Warriors,252.2
Jonathan Kuminga,,Golden State Warriors,252.2
Dino Rađa,Jugoplastika,Boston Celtics,84500.0
Jrue Holiday,UCLA,Boston Celtics,84500.0
Fred Boyd,Oregon State University,Philadelphia 76ers,nan
Paul Clifton Anthony George,Fresno State,Philadelphia 76ers,nan
Jordan Lee Crawford,Indiana University and Xavier University,Washington Wizards,nan
Tony Delk,University of Kentucky,Charlotte Hornets,2805115.0
Michael Carter-Williams,Syracuse,Philadelphia 76ers,nan
Zach LaVine,UCLA,Chicago Bulls,689000000000.0
Monti Davis,Tennessee State University,Philadelphia 76ers,nan
Isiah Thomas,Indiana,Detroit Pistons,218000000000.0
Andrew Wiggins,Kansas,Golden State Warriors,252.2
Jaden Edward Dhananjay Ivey,Purdue,Detroit Pistons,218000000000.0
Shaquille Rashaun O'Neal,LSU,Orlando Magic,nan
Anthony Avent,Seton Hall University,Bucks,102000000000.0
Buddy Hield,Oklahoma Sooners,Golden State Warriors,252.2
Jay Vincent,Michigan State Spartans,Dallas Mavericks,nan
Ausar Thompson,,Detroit Pistons,218000000000.0
Joel Embiid,Kansas Jayhawks,Philadelphia 76ers,nan
Cade Cunningham,Oklahoma State,Detroit Pistons,218000000000.0
Lavoy Allen,Temple University,Philadelphia 76ers,nan
Joseph Forte,University of North Carolina at Chapel Hill,Boston Celtics,84500.0
Trayce Jackson-Davis,Indiana,Golden State Warriors,252.2
Andre Drummond,Connecticut Huskies,Detroit Pistons,218000000000.0
Jahlil Okafor,,,nan
Jamal Crawford,University of Michigan,Chicago Bulls,689000000000.0
Draymond Green,Michigan State Spartans,Golden State Warriors,252.2
Stephen Curry,Davidson,Golden State Warriors,252.2
