founded_year,ownership,team_name,id,team.id
1946.0,"Ted Turner, Atlanta Spirit LLC",atlanta hawks,,
1946.0,"Boston Basketball Partners L.L.C., led by H. Irving Grousbeck, Wycliffe Grousbeck and Steve Pagliuca",boston celtics,,
1967.0,Joseph Tsai,brooklyn nets,,
1988.0,Michael Jordan,charlotte hornets,,
1980.0,"H. Ross Perot, Jr.",dallas mavericks,,
1967.0,Stan Kroenke,denver nuggets,,
1967.0,Larry Bird,indiana pacers,,
1970.0,"Ballmer, S",los angeles clippers,,
1946.0,Jerry Buss,los angeles lakers,,
1995.0,Robert J. Pera,memphis grizzlies,,
1987.0,Micky Arison,miami heat,,
1968.0,"Wes Edens, Marc Lasry",milwaukee bucks,,
1989.0,Glen Taylor,minnesota timberwolves,,
1946.0,Ned Irish,new york knicks,,
1967.0,Clay Bennett,oklahoma city thunder,,
1946.0,Harris Blitzer Sports & Entertainment,philadelphia 76ers,,
1968.0,Robert Sarver,phoenix suns,,
1970.0,Paul Allen,portland trail blazers,,
1945.0,"Joseph Benvenuti, Gregg Lukenbill",sacramento kings,,
1967.0,"Angelo Drossos, John Schaefer, and Red McCombs",san antonio spurs,,
1995.0,Maple Leaf Sports & Entertainment (MLSE),toronto raptors,,
1961.0,Monumental Sports & Entertainment,washington wizards,,
