position,nationality,age
center,Croatian,56.0
Forward,American,29.0
Guard/Forward,French,29.0
Forward,American,35.0
Three-point specialist,American,23.0
power forward/center,American,30.0
power forward-center,American,50.0
C,American,28.0
shooting guard,American,23.0
forward,American,36.0
point guard,American,37.0
,American,49.0
center,American,88.0
point guard,American,27.0
shooting guard,American,27.0
Point Guard,American,65.0
Shooting Guard/Small Forward,American,29.0
point guard,American,40.0
Forward/Guard,American,86.0
Point Guard,Serbian,29.0
center,American,31.0
,,64.0
Guard/Forward,American,34.0
Point Guard,German,31.0
basketball player,French,19.0
defenceman,Canadian,40.0
center,American,44.0
point guard,American,35.0
center,American,27.0
SF,Greek,33.0
Guard/Forward,American,59.0
Player,American,50.0
Point Guard,American,32.0
Guard,American,22.0
Forward,American,20.0
Point Guard,American,64.0
guard,Bahamas,28.0
guard,American,34.0
forward,American,78.0
small forward,American,56.0
Shooting Guard,American,43.0
Guard,British,27.0
forward,American,27.0
center,Dominican Republic,38.0
Point Guard,American,28.0
power forward,American,37.0
shooting guard,American,27.0
Point Guard,American,32.0
Guard,American,69.0
forward/guard,Canadian,29.0
basketball player,Azerbaijani,26.0
forward,American,34.0
F,American,64.0
G/F,American,26.0
Guard,American,73.0
,American,23.0
forward,American,32.0
,American,57.0
small forward,American,29.0
power forward,American,33.0
forward,Mexican-American,22.0
forward/center,American,58.0
"point guard, shooting guard, small forward",United States and Greece,34.0
point guard,American,38.0
shooting guard,American,41.0
,American,73.0
power forward,American,23.0
point guard,American,59.0
Guard,American,24.0
Guard/Forward,American,52.0
Forward,American,49.0
point guard,American,33.0
forward,American,49.0
,,52.0
player,American,54.0
Shooting Guard,American,54.0
player,American,26.0
power forward,American,33.0
Forward/Center,American,64.0
center,American,59.0
power forward,Slovenian,39.0
Point Guard,American,27.0
Guard,American,35.0
Point Guard,American,57.0
forward,American,72.0
guard,American,71.0
point guard,American,29.0
forward,American,26.0
player,American,27.0
,American,64.0
Forward,American,26.0
C,US,76.0
Guard/Forward,American,22.0
power forward,Greek and Nigerian,30.0
Forward,American,33.0
small forward,Congolese,21.0
center,Dutch,57.0
Guard,American,20.0
,American,64.0
center,Cameroonian-American,29.0
point guard,American,23.0
SG,AmericanVenezuelan,52.0
Guard,American,62.0
Guard,American,35.0
power forward,American,48.0
player,American,39.0
center,,80.0
shooting guard,American,33.0
Point Guard,American,28.0
center,American,34.0
player,American,72.0
center,American,28.0
point guard,Chinese-American,31.0
Center,American,51.0
Forward,American,78.0
shooting guard,American,58.0
