championship,location,age,olympic_gold_medals
1999.0,San Antonio,20.0,1.0
,Minneapolis,31.0,
6.0,Chicago,27.0,0.0
7.0,San Francisco,,
1999.0,San Antonio,54.0,1.0
3.0,Miami,24.0,0.0
3.0,Miami,51.0,1.0
3.0,Miami,,0.0
6.0,Chicago,,
2.0,New York City,27.0,0.0
6.0,Chicago,31.0,1.0
17.0,Los Angeles,39.0,3.0
7.0,San Francisco,21.0,0.0
17.0,Los Angeles,25.0,0.0
3.0,Detroit,62.0,0.0
3.0,Detroit,22.0,1.0
18.0,Boston,39.0,0.0
1999.0,San Antonio,,
0.0,Los Angeles,33.0,1.0
3.0,Miami,34.0,1.0
1.0,"Phoenix, Arizona",35.0,4.0
1.0,"Phoenix, Arizona",,
7.0,San Francisco,24.0,1.0
7.0,San Francisco,28.0,0.0
1999.0,San Antonio,32.0,1.0
0.0,"Memphis, Tennessee",27.0,0.0
6.0,Chicago,29.0,1.0
7.0,San Francisco,58.0,1.0
2.0,New York City,64.0,0.0
1999.0,San Antonio,48.0,0.0
6.0,Chicago,78.0,
3.0,Miami,26.0,2.0
17.0,Los Angeles,0.0,0.0
6.0,Chicago,61.0,4.0
1.0,"Phoenix, Arizona",39.0,2.0
18.0,Boston,34.0,2.0
3.0,Miami,23.0,0.0
2.0,"Orlando, Florida",32.0,0.0
7.0,San Francisco,35.0,3.0
2.0,Milwaukee,,
1.0,Dallas,32.0,2.0
18.0,Boston,,
3.0,Detroit,,1.0
7.0,San Francisco,29.0,0.0
,Minneapolis,23.0,1.0
3.0,Miami,29.0,
7.0,San Francisco,31.0,0.0
2.0,New York City,27.0,
0.0,New York City,43.0,0.0
0.0,New York City,31.0,1.0
17.0,Los Angeles,45.0,2.0
18.0,Boston,26.0,2.0
1.0,"Phoenix, Arizona",27.0,2.0
