founded_year,team_name,name,team
1967.0,Indiana Pacers,Rik Smits,Indiana Pacers
1989.0,Orlando Magic,Michael Carter-Williams,Orlando Magic
1989.0,Minnesota Timberwolves,Anthony Edwards,Minnesota Timberwolves
1967.0,Houston Rockets,Derrick Chievous,Houston Rockets
1974.0,Utah Jazz,Eric Johnson,Utah Jazz
1937.0,Detroit Pistons,Ausar Thompson,Detroit Pistons
1988.0,Miami Heat,Jaime Jaquez Jr.,Miami Heat
1967.0,Houston Rockets,John Lucas II,Houston Rockets
1967.0,San Antonio Spurs,Victor Wembanyama,San Antonio Spurs
1946.0,Golden State Warriors,Stephen Douglas Kerr,Golden State Warriors
1967.0,Brooklyn Nets,Jamal Crawford,Brooklyn Nets
1970.0,Portland Trail Blazers,Kermit Washington,Portland Trail Blazers
1946.0,Boston Celtics,Al Horford,Boston Celtics
1946.0,New York Knicks,OG Anunoby,New York Knicks
1946.0,Golden State Warriors,Draymond Green,Golden State Warriors
1967.0,San Antonio Spurs,Zach Collins,San Antonio Spurs
1966.0,Chicago Bulls,Trent Tucker,Chicago Bulls
1946.0,Los Angeles Lakers,Jay Vincent,Los Angeles Lakers
1988.0,Miami Heat,Kevin Love,Miami Heat
1946.0,Golden State Warriors,Trayce Jackson-Davis,Golden State Warriors
1946.0,Los Angeles Lakers,D'Angelo Russell,Los Angeles Lakers
1937.0,Detroit Pistons,Cade Cunningham,Detroit Pistons
1988.0,Miami Heat,Bam Adebayo,Miami Heat
1946.0,Boston Celtics,Toby Kimball,Boston Celtics
1946.0,New York Knicks,Jalen Brunson,New York Knicks
1988.0,Miami Heat,Tyler Herro,Miami Heat
1946.0,Golden State Warriors,Stephen Curry,Golden State Warriors
1968.0,Milwaukee Bucks,Giannis Antetokounmpo,Milwaukee Bucks
1937.0,Detroit Pistons,Jarrett Jack,Detroit Pistons
1966.0,Chicago Bulls,Bill Hewitt,Chicago Bulls
1970.0,Portland Trail Blazers,Daniel Edward Anderson,Portland Trail Blazers
1967.0,San Antonio Spurs,Tim Duncan,San Antonio Spurs
1946.0,Golden State Warriors,Buddy Hield,Golden State Warriors
1966.0,Chicago Bulls,Michael Jordan,Chicago Bulls
1946.0,76ers,Fred Boyd,76ers
1937.0,Detroit Pistons,Jaden Ivey,Detroit Pistons
1988.0,Miami Heat,Shaquille Rashaun O'Neal,Miami Heat
1946.0,Los Angeles Lakers,LeBron James,Los Angeles Lakers
1980.0,Dallas Mavericks,Erick Strickland,Dallas Mavericks
1946.0,Boston Celtics,Jaylen Brown,Boston Celtics
1988.0,Miami Heat,Jimmy Butler,Miami Heat
1946.0,New York Knicks,Harry Gallatin,New York Knicks
1946.0,Los Angeles Lakers,Kobe Bryant,Los Angeles Lakers
1946.0,Los Angeles Lakers,Anthony Davis,Los Angeles Lakers
1946.0,Los Angeles Lakers,Greg Foster,Los Angeles Lakers
1946.0,Boston Celtics,Jrue Holiday,Boston Celtics
1967.0,Brooklyn Nets,Kevin Wayne Durant,Brooklyn Nets
1995.0,Memphis Grizzlies,Lamar Stevens,Memphis Grizzlies
1968.0,Phoenix Suns,Miles Julian Simon,Phoenix Suns
1968.0,Phoenix Suns,Chris Paul,Phoenix Suns
1966.0,Chicago Bulls,Kurt Thomas,Chicago Bulls
1970.0,Portland Trail Blazers,Jabari Walker,Portland Trail Blazers
1946.0,Golden State Warriors,Jonathan Kuminga,Golden State Warriors
1946.0,Golden State Warriors,Kevon Looney,Golden State Warriors
1946.0,Golden State Warriors,Andrew Christian Wiggins,Golden State Warriors
1966.0,Chicago Bulls,Zach LaVine,Chicago Bulls
1967.0,San Antonio Spurs,William Bedford,San Antonio Spurs
1980.0,Dallas Mavericks,Kyrie Irving,Dallas Mavericks
1988.0,Miami Heat,Duncan McBryde Robinson,Miami Heat
1989.0,Minnesota Timberwolves,Askia Jones,Minnesota Timberwolves
1937.0,Detroit Pistons,Isiah Thomas,Detroit Pistons
1946.0,Golden State Warriors,Kyle Anderson,Golden State Warriors
1946.0,Los Angeles Lakers,Austin Reaves,Los Angeles Lakers
1946.0,Los Angeles Lakers,Earvin Magic Johnson,Los Angeles Lakers
1966.0,Chicago Bulls,Lonzo Ball,Chicago Bulls
1995.0,Memphis Grizzlies,Brandan Keith Wright,Memphis Grizzlies
1946.0,Boston Celtics,Jayson Tatum,Boston Celtics
1945.0,Sacramento Kings,Derek Grimm,Sacramento Kings
1968.0,Phoenix Suns,Devin Booker,Phoenix Suns
1968.0,Milwaukee Bucks,Anthony Avent,Milwaukee Bucks
1967.0,San Antonio Spurs,Harrison Barnes,San Antonio Spurs
1967.0,Brooklyn Nets,David Michineau,Brooklyn Nets
1967.0,Houston Rockets,Walter Berry,Houston Rockets
1967.0,Brooklyn Nets,Dennis Schröder,Brooklyn Nets
1967.0,Houston Rockets,Vernon Maxwell,Houston Rockets
