mvp_awards,draft_pick,fiba_world_cup,name
0,0.0,0.0,Antonius Cleveland
0,24.0,0.0,Jay Vincent Jay Fletcher Vincent
0,57.0,0.0,Nikola Radi?evi?
0,0.0,0.0,Fran Curran Francis Hugh Curran Sr.
0,0.0,0.0,David Michineau
0,0.0,0.0,Donta Hall
0,0.0,0.0,Erick Strickland
0,10.0,0.0,David Lattin
0,0.0,0.0,Toby Kimball
0,0.0,0.0,Derek Grimm
0,8.0,0.0,Brandan Keith Wright
0,0.0,0.0,Askia Rahman Jones
0,33.0,0.0,Carrick Felix
0,0.0,0.0,Mychel Thompson
0,45.0,0.0,Marvin Roberts
0,11.0,0.0,"Kenneth ""Apple"" Green"
0,0.0,0.0,Gerald Madkins Jr.
0,26.0,0.0,Don Anielak
0,2.0,0.0,Philip Douglas Jackson
0,15.0,0.0,Anthony Avent
0,0.0,0.0,Drew Edward Gordon
0,22.0,0.0,Jarrett Jack
0,0.0,0.0,Rick Hughes
0,50.0,0.0,Lavoy Allen
0,14.0,0.0,Ed Dahler Edward Dahler Jr.
3,1.0,0.0,Magic Johnson
0,0.0,0.0,Stanley M. Noszka
1,2.0,0.0,Isiah Thomas
0,2.0,0.0,Dan Anderson
0,6.0,0.0,Trent Tucker
0,24.0,0.0,Dwayne Kenneth Schintzius
0,0.0,0.0,Miles Julian Simon
0,1.0,0.0,Guy William Rodgers
0,2.0,0.0,Vernon Maxwell
2,1.0,0.0,Tim Duncan
0,14.0,0.0,Walter Berry
0,0.0,0.0,James Patrick Walsh
0,16.0,0.0,Tony Lorenzo Delk
0,13.0,0.0,Calvin Ramsey
0,0.0,0.0,Gene Dyker Eugene Walter Dyker
0,16.0,0.0,Derrick Chievous
0,1.0,0.0,Anthony Edwards
0,20.0,0.0,"Harry Junior ""The Horse"" Gallatin"
0,1.0,0.0,Jim Brasco
0,0.0,0.0,Larry Robinson
0,35.0,0.0,Nicholas William Calathes
0,169.0,0.0,Rod Derline
0,0.0,0.0,Kurt Thomas
0,5.0,0.0,Fred Boyd
0,6.0,0.0,William Bedford
0,8.0,0.0,Shawn Christopher Respert
0,19.0,0.0,Rodney Strickland
0,35.0,0.0,Elmer H. Behnke
0,0.0,0.0,Lamar Brandon Stevens
0,,0.0,Ronald Moore
0,2.0,0.0,Erazem Lorbek
0,0.0,0.0,"Marvin ""Mickey"" Rottner"
0,45.0,0.0,Hamidou Diallo
0,29.0,0.0,"Dewayne ""D. J."" White, Jr."
0,35.0,0.0,Gregory Clinton Foster
0,0.0,0.0,Bill Hewitt
0,21.0,0.0,Joseph Xavier Forte
0,53.0,0.0,Mark Jeffrey Radford
0,48.0,0.0,Kostas Papanikolaou
0,0.0,0.0,Garry Witts Garrett David Witts
0,57.0,0.0,Jabari Dominic Walker
0,0.0,0.0,Devontae Cacok
0,0.0,0.0,Brandon Goodwin
0,1.0,0.0,Dick Rosenthal
0,8.0,0.0,Jamal Crawford
0,27.0,0.0,Jordan Lee Crawford
0,44.0,0.0,Tom Copa
0,5.0,0.0,Kermit Washington
0,4.0,0.0,Donyell Marshall
0,8.0,0.0,Wayne Lavern Robinson
0,8.0,0.0,Greg Fillmore Gregory Paul Fillmore
0,1.0,0.0,John Harding Lucas II
0,0.0,0.0,Dick Surhoff
0,10.0,0.0,Garfield Smith
0,1.0,0.0,Leroy Patrick Chollet
0,11.0,0.0,Michael Carter-Williams
0,10.0,0.0,Jack Parr
0,21.0,0.0,"Monti Davis DaMon William ""Monti"" Davis"
0,0.0,0.0,Eric Johnson Jones
0,0.0,0.0,Sidney Harold Tanenbaum
0,57.0,0.0,Trayce Jackson-Davis
0,6.0,0.0,"Chavano Rainer ""Buddy"" Hield"
0,2.0,0.0,D'Angelo Russell
1,3.0,0.0,Joel Hans Embiid
0,10.0,0.0,Paul Clifton Anthony George
1,3.0,0.0,Jayson Christopher Tatum
0,0.0,0.0,Caleb Martin
0,1.0,0.0,Andrew Christian Wiggins
0,,0.0,Max Berning Fiedler
0,23.0,0.0,"Ogugua ""OG"" Anunoby Jr."
1,3.0,0.0,Jaylen Marselles Brown
0,1.0,0.0,Victor Wembanyama
1,17.0,0.0,Jrue Randall Holiday
2,15.0,0.0,Giannis Sina Ugo Antetokounmpo
0,3.0,0.0,Alfred Joel Horford Reynoso
0,13.0,0.0,Tyler Christopher Herro
0,0.0,0.0,Duncan McBryde Robinson
0,30.0,0.0,Kyle Forman Anderson
4,1.0,0.0,LeBron Raymone James Sr.
0,30.0,0.0,Jimmy Butler III
0,30.0,0.0,Kevon Grant Looney
0,13.0,0.0,Zachary Thomas LaVine
0,24.0,0.0,Kyle Terrell Lowry
5,3.0,0.0,Michael Jeffrey Jordan
0,13.0,0.0,Devin Armani Booker
0,35.0,0.0,Draymond Jamal Green
0,10.0,0.0,Zach Collins
0,7.0,0.0,Jonathan Malangu Kuminga
0,2.0,0.0,Lonzo Anderson Ball
0,18.0,0.0,Jaime Jaquez Jr.
0,5.0,0.0,Ausar XLNC Thompson
0,33.0,0.0,Jalen Marquis Brunson
1,13.0,0.0,Kobe Bean Bryant
1,4.0,0.0,Christopher Emmanuel Paul
0,7.0,0.0,Harrison Bryce Jordan Barnes
0,14.0,0.0,"Edrice Femi ""Bam"" Adebayo"
