age,nba_team,name,id,owner.id
64.0,Oklahoma City Thunder,clay bennett,,
,Orlando Magic,daniel g devos,,
76.0,Denver Nuggets,enos stanley kroenke,,
77.0,Pelicans,gayle marie lajaunie bird benson,,
69.0,New York Knicks,james lawrence dolan,,
88.0,Chicago Bulls,jerry michael reinsdorf,,
1964.0,Brooklyn Nets,joseph chung-hsin tsai,,
59.0,Philadelphia 76ers,joshua jordan harris,,
65.0,Dallas Mavericks,mark cuban,,
74.0,Miami Heat,micky arison,,
68.0,Los Angeles Clippers,steven anthony ballmer,,
66.0,Houston Rockets,tilman joseph fertitta,,
60.0,Detroit Pistons,tom gores,,
