founded_year,team_name,name,team,id,player.id,team.id
1946.0,Golden State Warriors,andrew christian wiggins,Golden State Warriors,,,
1989.0,Minnesota Timberwolves,anthony edwards,Minnesota Timberwolves,,,
1946.0,Los Angeles Lakers,anthony marshon davis,Los Angeles Lakers,,,
1937.0,Detroit Pistons,ausar xlnc thompson,Detroit Pistons,,,
1946.0,Los Angeles Lakers,austin tyler reaves,Los Angeles Lakers,,,
1995.0,Memphis Grizzlies,brandan keith wright,Memphis Grizzlies,,,
1937.0,Detroit Pistons,cade parker cunningham,Detroit Pistons,,,
1946.0,Golden State Warriors,"chavano rainer ""buddy"" hield",Golden State Warriors,,,
1967.0,San Antonio Spurs,christopher emmanuel paul,San Antonio Spurs,,,
1946.0,Los Angeles Lakers,d'angelo russell,Los Angeles Lakers,,,
1945.0,Sacramento Kings,derek grimm,Sacramento Kings,,,
1967.0,Houston Rockets,derrick chievous,Houston Rockets,,,
1968.0,Phoenix Suns,devin armani booker,Phoenix Suns,,,
1946.0,Golden State Warriors,draymond jamal green,Golden State Warriors,,,
1988.0,Miami Heat,duncan mcbryde robinson,Miami Heat,,,
1988.0,Miami Heat,"edrice femi ""bam"" adebayo",Miami Heat,,,
1974.0,Utah Jazz,eric johnson jones,Utah Jazz,,,
1980.0,Dallas Mavericks,erick strickland,Dallas Mavericks,,,
1968.0,Milwaukee Bucks,giannis sina ugo antetokounmpo,Milwaukee Bucks,,,
1946.0,Los Angeles Lakers,gregory clinton foster,Los Angeles Lakers,,,
1967.0,San Antonio Spurs,harrison bryce jordan barnes,San Antonio Spurs,,,
1937.0,Detroit Pistons,isiah thomas,Detroit Pistons,,,
1970.0,Portland Trail Blazers,jabari dominic walker,Portland Trail Blazers,,,
1937.0,Detroit Pistons,jaden edward dhananjay ivey,Detroit Pistons,,,
1988.0,Miami Heat,jaime jaquez,Miami Heat,,,
1937.0,Detroit Pistons,jarrett jack,Detroit Pistons,,,
1946.0,Los Angeles Lakers,jay vincent jay fletcher vincent,Los Angeles Lakers,,,
1946.0,Boston Celtics,jaylen marselles brown,Boston Celtics,,,
1946.0,Boston Celtics,jayson christopher tatum,Boston Celtics,,,
1988.0,Miami Heat,jimmy butler,Miami Heat,,,
1946.0,Golden State Warriors,jonathan malangu kuminga,Golden State Warriors,,,
1946.0,Boston Celtics,jrue randall holiday,Boston Celtics,,,
1970.0,Portland Trail Blazers,kermit washington,Portland Trail Blazers,,,
1967.0,Brooklyn Nets,kevin wayne durant,Brooklyn Nets,,,
1988.0,Miami Heat,kevin wesley love,Miami Heat,,,
1946.0,Golden State Warriors,kevon grant looney,Golden State Warriors,,,
1946.0,Los Angeles Lakers,kobe bean bryant,Los Angeles Lakers,,,
1966.0,Chicago Bulls,kurt thomas,Chicago Bulls,,,
1946.0,Golden State Warriors,kyle forman anderson,Golden State Warriors,,,
1980.0,Dallas Mavericks,kyrie andrew irving,Dallas Mavericks,,,
1995.0,Memphis Grizzlies,lamar brandon stevens,Memphis Grizzlies,,,
1946.0,Los Angeles Lakers,lebron raymone james,Los Angeles Lakers,,,
1966.0,Chicago Bulls,lonzo anderson ball,Chicago Bulls,,,
1946.0,Los Angeles Lakers,magic johnson,Los Angeles Lakers,,,
1968.0,Phoenix Suns,miles julian simon,Phoenix Suns,,,
1988.0,Miami Heat,shaquille rashaun o'neal,Miami Heat,,,
1967.0,San Antonio Spurs,tim duncan,San Antonio Spurs,,,
1946.0,Golden State Warriors,trayce jackson-davis,Golden State Warriors,,,
1966.0,Chicago Bulls,trent tucker,Chicago Bulls,,,
1988.0,Miami Heat,tyler christopher herro,Miami Heat,,,
1967.0,Houston Rockets,vernon maxwell,Houston Rockets,,,
1967.0,San Antonio Spurs,victor wembanyama,San Antonio Spurs,,,
1946.0,Golden State Warriors,wardell stephen curry,Golden State Warriors,,,
1967.0,San Antonio Spurs,zach collins,San Antonio Spurs,,,
1966.0,Chicago Bulls,zachary thomas lavine,Chicago Bulls,,,
