position,avg_age
,22.0
,29.0
Center,31.0
Defender,27.0
F,25.0
Forward,26.0
Forward/Guard,54.0
Guard,40.666666666666664
Not specified,24.333333333333332
PG,34.81818181818182
PG/SF,24.0
Player,59.0
Point Guard,54.2
Power Forward,25.0
SF,31.0
SG,33.0
SG/ SF,33.0
basketball,23.0
basketball player,21.0
center,181.07142857142858
defenceman,20.0
forward,43.05
forward/guard,85.0
guard,37.0
player,61.5
point guard,36.0
power forward,38.375
"power forward, center",29.0
power forward-center,41.0
power forward/center,45.5
power forward/stretch four,35.0
shooting guard,41.875
shooting guard / small forward,27.0
small forward,33.0
