founded_year,ownership,team_name
1989.0,DeVos family,Orlando Magic
1946.0,James Dolan,New York Knicks
2002.0,NBA,Pelicans
1967.0,Larry Bird,Indiana Pacers
1995.0,Robert J. Pera,Memphis Grizzlies
1974.0,Larry H. Miller,Utah Jazz
1937.0,Bill Davidson's family or organization,Detroit Pistons
1980.0,"H. Ross Perot, Jr.",Dallas Mavericks
1967.0,"Angelo Drossos, John Schaefer, and Red McCombs",San Antonio Spurs
1970.0,Dan Gilbert,Cavaliers
1966.0,Wirtz family,Chicago Bulls
1968.0,"Wes Edens, Marc Lasry",Bucks
1961.0,Monumental Sports & Entertainment,Washington Wizards
1988.0,Michael Jordan,Charlotte Hornets
1968.0,Robert Sarver,Phoenix Suns
1970.0,Ballmer,Los Angeles Clippers
1946.0,"Ted Turner, Atlanta Spirit LLC",Atlanta Hawks
1967.0,Clay Bennett,Oklahoma City Thunder
1967.0,Charlie Thomas and Sidney Shlenker,Houston Rockets
1988.0,Micky Arison,Miami Heat
1967.0,Stan Kroenke,Denver Nuggets
1970.0,Paul Allen,Portland Trail Blazers
1946.0,Jerry Buss,Los Angeles Lakers
1989.0,Glen Taylor,Minnesota Timberwolves
1995.0,Maple Leaf Sports & Entertainment (MLSE),Toronto Raptors
1967.0,Joseph Tsai,Brooklyn Nets
1946.0,"Boston Basketball Partners L.L.C., led by H. Irving Grousbeck, Wycliffe Grousbeck and Steve Pagliuca",The Boston Celtics
1946.0,Peter Guber and Joe Lacob,Golden State Warriors
1946.0,Harris Blitzer Sports & Entertainment,Philadelphia 76ers
1945.0,"Joseph Benvenuti, Gregg Lukenbill",Sacramento Kings
