ownership,championship,founded_year
Donald Sterling,0.0,1970.0
Micky Arison,3.0,1988.0
"Robert Breitbard (1967-1970), George Maloof (1979-1980), Gavin Maloof, Charlie Thomas and Sidney Shlenker (1982)",2.0,1967.0
"Angelo Drossos, John Schaefer, Red McCombs",5.0,1973.0
Bill Davidson,3.0,1937.0
Plotkin & Schnall,0.0,1988.0
"Carter (1980-1996), Perot (1996-present)",1.0,1980.0
Dan Gilbert,1.0,1970.0
unknown,18.0,1946.0
Not specified in the provided context,3.0,1967.0
Klein-Williams,6.0,1966.0
Larry H. Miller,2.0,1974.0
Wes Edens and Marc Lasry,2.0,1968.0
Peter Guber and Joe Lacob,4.0,1946.0
Paul Allen,1.0,1970.0
Robert Sarver,0.0,1968.0
Monumental Sports & Entertainment,1.0,1961.0
Harris Blitzer Sports & Entertainment,3.0,1946.0
Multiple owners over time,1.0,1946.0
Joseph Tsai,2.0,1967.0
Jerry Buss,17.0,1946.0
Ned Irish,2.0,1946.0
Ownership details not explicitly provided; changed hands multiple times,1.0,1967.0
"Harrison brothers (until 1956-1957), then Thomas Woods and local businessmen",1.0,1923.0
