age,nba_team,name
74.0,Miami Heat,Micky Arison
59.0,Philadelphia 76ers,Joshua Jordan Harris
1964.0,Brooklyn Nets,Joseph Tsai
68.0,Los Angeles Clippers,Steve Ballmer
69.0,New York Knicks,James L. Dolan
65.0,Dallas Mavericks,Mark Cuban
67.0,Golden State Warriors,Joe Lacob
64.0,Oklahoma City Thunder,Clay Bennett
60.0,Detroit Pistons,Tom Gores
66.0,Houston Rockets,Tilman Fertitta
,Orlando Magic,Dan DeVos
76.0,Denver Nuggets,Stan Kroenke
77.0,Pelicans,Gayle Benson
88.0,Chicago Bulls,Jerry Michael Reinsdorf
,Indiana Pacers,
