draft_pick,team_name,fiba_world_cup,location
1.0,Minnesota Timberwolves,2024.0,Minnesota
,Los Angeles Lakers,1.0,Los Angeles
3.0,Boston Celtics,1.0,Boston
14.0,Miami Heat,2.0,Miami
50.0,Golden State Warriors,1.0,San Francisco
1.0,San Antonio Spurs,1.0,San Antonio
23.0,New York Knicks,1.0,New York City borough of Manhattan
3.0,Boston Celtics,1.0,Boston
1.0,Golden State Warriors,1.0,San Francisco
,Detroit Pistons,1.0,Detroit
30.0,Golden State Warriors,1.0,San Francisco
17.0,Boston Celtics,2.0,Boston
57.0,Golden State Warriors,1.0,San Francisco
