name,position,team,age,file
Dennis Schröder,Backcourt,Brooklyn Nets,31,93
Shawn Christopher Respert,Backcourt,Milwaukee Bucks,"25 (as of 2019, calculated from birth date)",60
Lamar Brandon Stevens,Frontcourt,Memphis Grizzlies,26,63
Jaylen Brown,Backcourt,Boston Celtics,28,110
Phil Jackson,,"New York Knicks, Chicago Bulls, Los Angeles Lakers",,21
Marv Roberts,Frontcourt,Los Angeles Lakers,1974,17
Askia Rahman Jones,Backcourt,Empty,2025/1/1 - 1971/12/3,14
Max Berning Fiedler,Frontcourt,Philadelphia 76ers,23,108
Nate Huffman,Backcourt,Maccabi Tel Aviv,40,56
Andre Drummond,Frontcourt,Philadelphia 76ers,30,99
