name,draft_pick,college,team,file
Dennis Schröder,17,,Brooklyn Nets,93
Shawn Christopher Respert,8,Michigan State,,60
Lamar Brandon Stevens,,Penn State Nittany Lions,Memphis Grizzlies,63
Jaylen Brown,3,California Golden Bears,Boston Celtics,110
Phil Jackson,,University of North Dakota,,21
Marv Roberts,3,Utah State University,Los Angeles Lakers,17
Askia Rahman Jones,,Kansas State University,,14
Max Berning Fiedler,,Rice,Philadelphia 76ers,108
Nate Huffman,,Central Michigan University,Maccabi Tel Aviv,56
Andre Drummond,9,University of Connecticut,Philadelphia 76ers,99
