name,nationality,age,team
Aaron Williams,American,54,Los Angeles Clippers
Andre Jamal Drummond,American,32,Philadelphia 76ers
Anthony Avent,American,56,PAOK Thessaloniki
Anthony Edwards,American,24,Minnesota Timberwolves
Antonius Cleveland,American,31,Lokomotiv Kuban
Austin Tyler Reaves,American,27,Los Angeles Lakers
Bill Hewitt,American,81,Los Angeles Lakers
Brandon Goodwin,American,30,Gigantes de Carolina
Caleb Martin,American,30,Philadelphia 76ers
Carrick Felix,American,35,Melbourne United
D'Angelo Russell,American,29,Los Angeles Lakers
Darnell Hillman,American,76,Golden State Warriors
David Michineau,French,31,Bursaspor Basketbol
Derrick Chievous,American,58,Cleveland Cavaliers
Devontae Cacok,American,29,Virtus Bologna
"Dewayne ""D. J."" White, Jr.",American,39,Piratas de Quebradillas
Dick Rosenthal,American,91,Fort Wayne Pistons
Dick Surhoff,American,96,Milwaukee Hawks
Don Anielak,American,95,New York Knicks
Donta Hall,American-born naturalized Azerbaijani,28,Saski Baskonia
Donyell Marshall,American,52,Greensboro Swarm
Erazem Lorbek,Slovenian,41,Petrol Olimpija
Erick Strickland,American,51,Milwaukee Bucks
Fred Boyd,American,75,New Orleans Jazz
Garfield Smith,American,80,Boston Celtics
Gerald Madkins Jr.,American,56,Grand Rapids Hoops
Gregory Clinton Foster,American,57,Indiana Pacers
Guy William Rodgers,American,90,Milwaukee Bucks
Hamidou Diallo,American,27,Capital City Go-Go
Jack Parr,American,89,Cincinnati Royals
Jahlil Okafor,Nigerian-American,30,Capitanes de Arecibo
Jaime Jaquez Jr.,Mexican-American,24,Miami Heat
Jamal Crawford,American,45,Brooklyn Nets
James Patrick Walsh,American,95,Philadelphia Warriors
Jarrett Jack,American,41,Detroit Pistons
Jim Brasco,American,94,Milwaukee Hawks
Jordan Lee Crawford,American,37,Sichuan Blue Whales
Kermit Washington,American,74,Golden State Warriors
Kostas Papanikolaou,Greek,35,Olympiacos
Kurt Thomas,American,53,New York Knicks
Larry Robinson,Canadian,74,Senior Consultant to Hockey Operations for the St. Louis Blues
Lavoy Allen,American,36,Philadelphia 76ers
Mark Price,American,61,Orlando Magic
"Marvin ""Mickey"" Rottner",American,106,Chicago Stags
Marvin Roberts,American,75,
Michael Carter-Williams,American,34,Capitanes de Ciudad de M��xico
Mychel Thompson,American,37,Santa Cruz Warriors
Rick Hughes,American,52,HTV Basket
Rik Smits,Dutch,59,Indiana Pacers
Rod Derline,,73,Seattle SuperSonics
Ronald Moore,American,37,Debreceni EAC
Shawn Christopher Respert,American,53,
Sidney Harold Tanenbaum,American,100,Baltimore Bullets
Steve Kerr,American,60,Golden State Warriors
Steve Smith,American,56,Charlotte Bobcats
Toby Kimball,American,83,New Orleans Jazz
Tom Copa,American,61,Libertas Livorno
Trayce Jackson-Davis,American,25,Golden State Warriors
Trent Tucker,American,65,Chicago Bulls
Vernon Maxwell,American,60,Dallas Mavericks
Walter Berry,American,61,Panteras de Miranda
William Bedford,American,61,Grand Rapids Hoops
Zach Collins,American,28,San Antonio Spurs
