name,nationality,age,team
Antonius Cleveland,USA,nan,Lokomotiv Kuban
Toby Kimball,USA,nan,Boston Celtics||San Diego Rockets||Milwaukee Bucks||Kansas City Kings||Philadelphia 76ers||New Orleans Jazz
nan,nan,nan,nan
D'Angelo Russell,USA,28.0,Los Angeles Lakers
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
Caleb Martin,USA,nan,Philadelphia 76ers
nan,Canada||USA,29.0,Golden State Warriors
Max Fiedler,USA,nan,Philadelphia 76ers
OG Anunoby,British||Nigerian,nan,New York Knicks
William Derek Grimm,USA,nan,Sacramento Kings
Jaylen Brown,USA,27.0,Boston Celtics
nan,nan,nan,nan
Jrue Holiday,USA,nan,Boston Celtics
Austin Tyler Reaves,USA,nan,Los Angeles Lakers
nan,nan,nan,nan
nan,Greece||Nigeria,30.0,Milwaukee Bucks
nan,nan,nan,nan
Al Horford,Dominican Republic||USA,38.0,Boston Celtics
Tyler Herro,USA,24.0,Miami Heat
nan,USA,29.0,Miami Heat
nan,nan,nan,nan
Kyle Anderson,American-Chinese,nan,Golden State Warriors
Cade Cunningham,USA,nan,Detroit Pistons
nan,nan,nan,nan
nan,nan,nan,nan
Kevon Looney,USA,nan,Golden State Warriors
Zach LaVine,USA,nan,Chicago Bulls
Jaden Ivey,USA,nan,Detroit Pistons
Kyle Lowry,USA||Canada,nan,Philadelphia 76ers
nan,nan,nan,nan
nan,nan,nan,nan
Brandan Wright,USA,nan,nan
nan,nan,nan,nan
Zach Collins,USA,nan,San Antonio Spurs
Jonathan Kuminga,Congolese||French,21.0,Golden State Warriors
nan,USA,26.0,Chicago Bulls
Jaime Jaquez Jr.,Mexican-American||Norway,22.0,Miami Heat
Ausar Thompson,USA,20.0,Detroit Pistons
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
Askia Jones,American-Venezuelan,nan,nan
Harrison Barnes,USA,nan,San Antonio Spurs
Bam Adebayo,USA||Nigeria,27.0,Miami Heat
Carrick Felix,USA,nan,nan
Mychel Thompson,USA,nan,nan
Marvin Roberts,USA,nan,Los Angeles Lakers
Ken Green,USA,nan,New York Knicks
Gerald Madkins Jr.,USA,nan,Los Angeles Clippers
Jay Vincent,USA,nan,Los Angeles Lakers
Don Anielak,USA,nan,New York Knicks
nan,USA,nan,nan
Anthony Avent,USA,nan,nan
Drew Gordon,USA,33.0,nan
Jarrett Jack,USA,nan,Detroit Pistons
Rick Hughes,USA||France,nan,nan
Lavoy Allen,USA,nan,nan
Ed Dahler,USA,nan,Philadelphia Warriors
nan,nan,nan,nan
