name,position,college,draft_pick
Antonius Cleveland,,Southeast Missouri State University,0.0
Jay Vincent Jay Fletcher Vincent,Frontcourt,Michigan State Spartans,24.0
Nikola Radi?evi?,Backcourt,,57.0
Fran Curran Francis Hugh Curran Sr.,,University of Notre Dame,0.0
Mark Price,Backcourt,Georgia Tech,25.0
David Michineau,Backcourt,,0.0
Donta Hall,,Alabama,0.0
Erick Strickland,,University of Nebraska,0.0
David Lattin,Frontcourt,Texas Western College,10.0
Toby Kimball,Frontcourt,University of Connecticut,0.0
Derek Grimm,Frontcourt,University of Missouri,0.0
Anthony Marshon Davis Jr.,Frontcourt,Kentucky,1.0
Brandan Keith Wright,,University of North Carolina at Chapel Hill,8.0
Askia Rahman Jones,Backcourt,Kansas State University,0.0
Carrick Felix,Backcourt,Arizona State,33.0
Mychel Thompson,Backcourt,Pepperdine University,0.0
Marvin Roberts,,Utah State University,45.0
"Kenneth ""Apple"" Green",,Pan American University,11.0
Gerald Madkins Jr.,,"University of California, Los Angeles",0.0
Don Anielak,,Southwest Missouri State University,26.0
Philip Douglas Jackson,Frontcourt,University of North Dakota,2.0
Anthony Avent,Frontcourt,Seton Hall University,15.0
Drew Edward Gordon,Frontcourt,UCLA,0.0
Jarrett Jack,,Georgia Tech,22.0
Rick Hughes,,Thomas More College,0.0
Lavoy Allen,,Temple University,50.0
Ed Dahler Edward Dahler Jr.,,Duquesne,14.0
Magic Johnson,Backcourt,Michigan State,1.0
Stanley M. Noszka,,,0.0
Isiah Thomas,Backcourt,Indiana Hoosiers,2.0
Dan Anderson,,,2.0
Jahlil Okafor,,Duke,3.0
Trent Tucker,Backcourt,University of Minnesota,6.0
Dwayne Kenneth Schintzius,Frontcourt,University of Florida,24.0
Miles Julian Simon,Backcourt,University of Arizona,0.0
Guy William Rodgers,,Temple University,1.0
Vernon Maxwell,Backcourt,University of Florida,2.0
Tim Duncan,Frontcourt,Wake Forest University,1.0
Walter Berry,Frontcourt,St. John's University,14.0
James Patrick Walsh,Frontcourt,Stanford University,0.0
Tony Lorenzo Delk,,Kentucky,16.0
Calvin Ramsey,Frontcourt,NYU,13.0
Gene Dyker Eugene Walter Dyker,Frontcourt,,0.0
Derrick Chievous,Frontcourt,University of Missouri,16.0
Rik Smits,Frontcourt,Marist College,2.0
Anthony Edwards,Backcourt,Georgia,1.0
