name,position,college,draft_pick
Aaron Williams,Frontcourt,Xavier University,
Anthony Avent,Frontcourt,Seton Hall University,15.0
Anthony Edwards,Shooting guard,Georgia,1.0
Antonius Cleveland,,Southeast Missouri State University,
Bill Hewitt,Frontcourt,University of Southern California,
Brandon Goodwin,Backcourt,UCF Knights,
Caleb Martin,Frontcourt,NC State University,
Carrick Felix,Frontcourt,Arizona State University,33.0
D'Angelo Russell,Point guard,Ohio State Buckeyes,2.0
Darnell Hillman,Frontcourt,San Jose State University,8.0
David Michineau,,,
Derrick Chievous,Frontcourt,University of Missouri,16.0
Devontae Cacok,Frontcourt,UNC Wilmington Seahawks,
Dick Rosenthal,Frontcourt,Notre Dame University,
Dick Surhoff,,Long Island and John Marshall College,1.0
Don Anielak,,Southwest Missouri State University,26.0
Donta Hall,Frontcourt,Alabama Crimson Tide,
Donyell Marshall,Frontcourt,University of Connecticut,4.0
Erazem Lorbek,Frontcourt,Michigan State University,
Erick Strickland,Frontcourt,University of Nebraska,
Fred Boyd,,Oregon State University,5.0
Garfield Smith,Frontcourt,,10.0
Gregory Clinton Foster,,UCLA,35.0
Guy William Rodgers,Backcourt,Temple University,
Hamidou Diallo,Frontcourt,University of Kentucky,45.0
Isiah Thomas,Backcourt,Indiana University,2.0
Jack Parr,Frontcourt,Kansas State University,
Jahlil Okafor,Frontcourt,Duke University,3.0
Jaime Jaquez Jr.,Frontcourt,UCLA Bruins,18.0
Jamal Crawford,Backcourt,University of Michigan,8.0
James Patrick Walsh,Frontcourt,Stanford University,
Jarrett Jack,Backcourt,Georgia Tech,22.0
Jim Brasco,,New York University,
Kermit Washington,Big defensive forward,American University,5.0
Kostas Papanikolaou,Frontcourt,,48.0
Kurt Thomas,Frontcourt,Texas Christian University,
Lavoy Allen,Frontcourt,Temple University,50.0
Mark Price,Backcourt,Georgia Tech,25.0
"Marvin ""Mickey"" Rottner",Backcourt,Loyola University,
Marvin Roberts,,Utah State University,39.0
Michael Carter-Williams,Backcourt,Syracuse Orange,11.0
Mychel Thompson,Backcourt,Pepperdine University,
Rick Hughes,Backcourt,Thomas More College,
Rik Smits,Frontcourt,Marist College,2.0
Rod Derline,Backcourt,Seattle University,169.0
Ronald Moore,Backcourt,Siena,
Shawn Christopher Respert,Backcourt,Michigan State,8.0
Steve Kerr,Backcourt,University of Arizona,50.0
Steve Smith,Backcourt,Michigan State,5.0
Tim Duncan,Frontcourt,Wake Forest Demon Deacons,1.0
Trayce Jackson-Davis,Frontcourt,Indiana Hoosiers,57.0
Trent Tucker,Shooting guard,University of Minnesota,6.0
Vernon Maxwell,Shooting guard,University of Florida,32.0
Victor Wembanyama,Frontcourt,,1.0
Walter Berry,Frontcourt,St. John's University,14.0
William Bedford,Frontcourt,Memphis State University (now known as the University of Memphis)',6.0
Zach Collins,Frontcourt,Gonzaga,10.0
