name,college,draft_pick,team
Jay Vincent Jay Fletcher Vincent,Michigan State Spartans,24.0,Los Angeles Lakers
Nikola Radi?evi?,,57.0,Cedevita Olimpija
Mark Price,Georgia Tech,25.0,Orlando Magic
David Lattin,Texas Western College,10.0,New Orleans Jazz
Anthony Marshon Davis Jr.,Kentucky,1.0,Los Angeles Lakers
Brandan Keith Wright,University of North Carolina at Chapel Hill,8.0,Houston Rockets
Carrick Felix,Arizona State,33.0,Melbourne United
Marvin Roberts,Utah State University,45.0,
"Kenneth ""Apple"" Green",Pan American University,11.0,New York Knicks
Don Anielak,Southwest Missouri State University,26.0,New York Knicks
Philip Douglas Jackson,University of North Dakota,2.0,Los Angeles Lakers
Anthony Avent,Seton Hall University,15.0,PAOK Thessaloniki
Jarrett Jack,Georgia Tech,22.0,Detroit Pistons
Lavoy Allen,Temple University,50.0,Philadelphia 76ers
Ed Dahler Edward Dahler Jr.,Duquesne,14.0,Philadelphia Warriors
Magic Johnson,Michigan State,1.0,Los Angeles Lakers
Isiah Thomas,Indiana Hoosiers,2.0,Detroit Pistons
Dan Anderson,,2.0,Portland Trail Blazers
Jahlil Okafor,Duke,3.0,Capitanes de Arecibo
Trent Tucker,University of Minnesota,6.0,Chicago Bulls
Dwayne Kenneth Schintzius,University of Florida,24.0,Brevard Blue Ducks
Guy William Rodgers,Temple University,1.0,Milwaukee Bucks
Vernon Maxwell,University of Florida,2.0,Dallas Mavericks
Tim Duncan,Wake Forest University,1.0,San Antonio Spurs
Walter Berry,St. John's University,14.0,Panteras de Miranda
Tony Lorenzo Delk,Kentucky,16.0,New Mexico State
Calvin Ramsey,NYU,13.0,New York Knicks
Derrick Chievous,University of Missouri,16.0,Cleveland Cavaliers
Rik Smits,Marist College,2.0,Indiana Pacers
Anthony Edwards,Georgia,1.0,Minnesota Timberwolves
"Harry Junior ""The Horse"" Gallatin",Northeast Missouri State Teachers' College,20.0,Detroit Pistons
Jim Brasco,New York University,1.0,Milwaukee Hawks
Darnell Hillman,San Jose State University,8.0,Golden State Warriors
Nicholas William Calathes,University of Florida,35.0,AS Monaco
Rod Derline,Seattle University,169.0,Seattle SuperSonics
Kevin Wayne Durant,University of Texas at Austin,2.0,Phoenix Suns
Fred Boyd,Oregon State University,5.0,New Orleans Jazz
William Bedford,Memphis State University,6.0,Grand Rapids Hoops
Steve Smith,Michigan State,5.0,Charlotte Bobcats
Shawn Christopher Respert,Michigan State,8.0,
Rodney Strickland,DePaul University,19.0,Houston Rockets
Elmer H. Behnke,Bradley University,35.0,Milwaukee Hawks
Erazem Lorbek,Michigan State University,2.0,Petrol Olimpija
Hamidou Diallo,University of Kentucky,45.0,Capital City Go-Go
"Dewayne ""D. J."" White, Jr.",Indiana Hoosiers,29.0,Piratas de Quebradillas
Steve Kerr,University of Arizona,50.0,Golden State Warriors
Gregory Clinton Foster,UTEP,35.0,Indiana Pacers
Joseph Xavier Forte,University of North Carolina at Chapel Hill,21.0,Maccabi Tel Aviv
Dino_Ra?a,,40.0,Split
Mark Jeffrey Radford,Oregon State University,53.0,Seattle SuperSonics
Kostas Papanikolaou,,48.0,Olympiacos
Jabari Dominic Walker,Colorado,57.0,Portland Trail Blazers
Dick Rosenthal,Notre Dame,1.0,Fort Wayne Pistons
Jamal Crawford,University of Michigan,8.0,Brooklyn Nets
Jordan Lee Crawford,"Indiana University, Xavier University",27.0,Sichuan Blue Whales
Tom Copa,Marquette,44.0,Libertas Livorno
Kermit Washington,American University,5.0,Golden State Warriors
Donyell Marshall,University of Connecticut,4.0,Greensboro Swarm
Wayne Lavern Robinson,University of Minnesota,8.0,Philadelphia Eagles
Greg Fillmore Gregory Paul Fillmore,Cheyney University of Pennsylvania,8.0,New York Knicks
John Harding Lucas II,University of Maryland,1.0,Houston Rockets
Garfield Smith,,10.0,Boston Celtics
Leroy Patrick Chollet,Loyola University New Orleans,1.0,Syracuse Nationals
Michael Carter-Williams,Syracuse Orange,11.0,Capitanes de Ciudad de M��xico
Dennis Schr?der,,17.0,Brooklyn Nets
Jack Parr,Kansas State University,10.0,Cincinnati Royals
"Monti Davis DaMon William ""Monti"" Davis",Tennessee State University,21.0,Dallas Mavericks
Trayce Jackson-Davis,Indiana Hoosiers,57.0,Golden State Warriors
Andre Jamal Drummond,University of Connecticut,9.0,Philadelphia 76ers
"Chavano Rainer ""Buddy"" Hield",Oklahoma Sooners,6.0,Golden State Warriors
D'Angelo Russell,Ohio State,2.0,Los Angeles Lakers
Joel Hans Embiid,University of Kansas,3.0,Philadelphia 76ers
Paul Clifton Anthony George,Fresno State,10.0,Philadelphia 76ers
Kyrie Andrew Irving,Duke University,1.0,Dallas Mavericks
Jayson Christopher Tatum,Duke University,3.0,Boston Celtics
Andrew Christian Wiggins,Kansas Jayhawks,1.0,Golden State Warriors
"Ogugua ""OG"" Anunoby Jr.",Indiana University,23.0,New York Knicks
Jaylen Marselles Brown,"University of California, Berkeley",3.0,Boston Celtics
Victor Wembanyama,,1.0,San Antonio Spurs
Jrue Randall Holiday,UCLA,17.0,Boston Celtics
Kevin Wesley Love,UCLA,5.0,Miami Heat
Giannis Sina Ugo Antetokounmpo,,15.0,Milwaukee Bucks
Wardell Stephen Curry II,Davidson,7.0,Golden State Warriors
Alfred Joel Horford Reynoso,University of Florida,3.0,Boston Celtics
Tyler Christopher Herro,University of Kentucky,13.0,Miami Heat
Kyle Forman Anderson,UCLA,30.0,Golden State Warriors
Cade Parker Cunningham,Oklahoma State,1.0,Detroit Pistons
LeBron Raymone James Sr.,,1.0,Los Angeles Lakers
Jimmy Butler III,Marquette University,30.0,Miami Heat
Kevon Grant Looney,UCLA,30.0,Golden State Warriors
Zachary Thomas LaVine,UCLA,13.0,Chicago Bulls
