name,nationality,age,team
Aaron Williams,USA,,Los Angeles Clippers
Anthony Avent,USA,,
Anthony Edwards,USA,23.0,Minnesota Timberwolves
Antonius Cleveland,USA,,Lokomotiv Kuban
Austin Tyler Reaves,USA,,Los Angeles Lakers
Bill Hewitt,USA,,Los Angeles Lakers || Detroit Pistons || Buffalo Braves || Chicago Bulls
Brandon Goodwin,USA,,Gigantes de Carolina
Caleb Martin,USA,,Philadelphia 76ers
Carrick Felix,USA,,
D'Angelo Russell,USA,28.0,Los Angeles Lakers
Darnell Hillman,,,Indiana Pacers
David Michineau,France ||,,Bursaspor Basketbol
Derrick Chievous,USA,,
Devontae Cacok,USA,,Virtus Bologna
"Dewayne ""D. J."" White, Jr.",,,Oklahoma City Blue
Dick Rosenthal,USA,91.0,Fort Wayne Pistons
Dick Surhoff,USA,,New York Knicks || Milwaukee Hawks
Don Anielak,USA,,New York Knicks
Donta Hall,USA || Azerbaijan,,Saski Baskonia
Donyell Marshall,USA,,Greensboro Swarm
Erazem Lorbek,Slovenia,,
Erick Strickland,USA,,
Fred Boyd,USA,73.0,
Garfield Smith,USA,,Boston Celtics
Gerald Madkins Jr.,USA,,Los Angeles Clippers
Gregory Clinton Foster,USA,,Indiana Pacers
Guy William Rodgers,USA,65.0,
Hamidou Diallo,USA || Guinea,,Capital City Go-Go
Jack Parr,USA,,Cincinnati Royals
Jahlil Okafor,Nigerian-American,,Capitanes de Arecibo
Jaime Jaquez Jr.,Mexican-American || Norway,22.0,Miami Heat
Jamal Crawford,USA,,
James Patrick Walsh,USA,,Philadelphia Warriors
Jarrett Jack,USA,,Detroit Pistons
Jim Brasco,USA,,Syracuse Nationals || Milwaukee Hawks
Jordan Lee Crawford,USA,,Sichuan Blue Whales
Kermit Washington,USA,,Los Angeles Lakers (last NBA team)
Kostas Papanikolaou,Greek ||,33.0,Olympiacos
Kurt Thomas,USA,,
Larry Robinson,Canada,,St. Louis Blues
Lavoy Allen,USA,,
Leroy Patrick Chollet,USA ||,,Syracuse Nationals
Mark Price,USA,,Charlotte 49ers
"Marvin ""Mickey"" Rottner",USA,,Chicago Stags
Marvin Roberts,USA,,Los Angeles Lakers
Michael Carter-Williams,USA,,Capitanes de Ciudad de México
Mychel Thompson,USA,,
Rick Hughes,USA || France,,
Rik Smits,Dutch,,Indiana Pacers
Rod Derline,,,Seattle SuperSonics
Ronald Moore,USA,,Debreceni EAC
Shawn Christopher Respert,USA,,Los Angeles Lakers
Steve Kerr,USA,58.0,Golden State Warriors
Steve Smith,USA,,
Toby Kimball,USA,,Boston Celtics || San Diego Rockets || Milwaukee Bucks || Kansas City Kings || Philadelphia 76ers || New Orleans Jazz
Tom Copa,USA,,La Crosse Bobcats
Trayce Jackson-Davis,USA,,Golden State Warriors
Trent Tucker,USA,,
Vernon Maxwell,USA,,
Walter Berry,USA,,
William Bedford,USA,,
