name,college,draft_pick,team
Anthony Avent,Seton Hall University,15.0,
Anthony Edwards,Georgia Bulldogs,1.0,Minnesota Timberwolves
Carrick Felix,Arizona State,33.0,
D'Angelo Russell,Ohio State Buckeyes,2.0,Los Angeles Lakers
Darnell Hillman,San Jose State University,8.0,Indiana Pacers
Derrick Chievous,University of Missouri,16.0,
Donyell Marshall,University of Connecticut,4.0,Greensboro Swarm
Dwayne Kenneth Schintzius,University of Florida,24.0,San Antonio Spurs
Fred Boyd,Oregon State University,5.0,Philadelphia 76ers
Garfield Smith,,10.0,Boston Celtics
Gregory Clinton Foster,UCLA,35.0,Indiana Pacers
Guy William Rodgers,Temple University,,Milwaukee Bucks
Jarrett Jack,Georgia Tech,22.0,Detroit Pistons
Lavoy Allen,Temple University,50.0,Philadelphia 76ers
Mark Price,Georgia Tech,25.0,Cleveland Cavaliers
Michael Carter-Williams,Syracuse Orange,11.0,Capitanes de Ciudad de México
Rik Smits,Marist College,2.0,Indiana Pacers
Shawn Christopher Respert,Michigan State,8.0,Los Angeles Lakers
Tim Duncan,Wake Forest Demon Deacons,1.0,San Antonio Spurs
Trent Tucker,University of Minnesota,6.0,New York Knicks
Victor Wembanyama,,1.0,San Antonio Spurs
Walter Berry,St. John's University,14.0,
William Bedford,Memphis State University,6.0,San Antonio Spurs
