name,position,team
Nikola Radi?evi?,Backcourt,Cedevita Olimpija
Mark Price,Backcourt,Orlando Magic
David Michineau,Backcourt,Bursaspor Basketbol
Askia Rahman Jones,Backcourt,Guaros de Lara
Carrick Felix,Backcourt,Melbourne United
Mychel Thompson,Backcourt,Santa Cruz Warriors
Magic Johnson,Backcourt,Los Angeles Lakers
Isiah Thomas,Backcourt,Detroit Pistons
Trent Tucker,Backcourt,Chicago Bulls
Miles Julian Simon,Backcourt,Phoenix Suns
Vernon Maxwell,Backcourt,Dallas Mavericks
Anthony Edwards,Backcourt,Minnesota Timberwolves
Nicholas William Calathes,Backcourt,AS Monaco
Rod Derline,Backcourt,Seattle SuperSonics
Steve Smith,Backcourt,Charlotte Bobcats
Ronald Moore,Backcourt,Debreceni EAC
"Marvin ""Mickey"" Rottner",Backcourt,Chicago Stags
Joseph Xavier Forte,Backcourt,Maccabi Tel Aviv
Brandon Goodwin,Backcourt,Gigantes de Carolina
Leroy Patrick Chollet,Backcourt,Syracuse Nationals
Sidney Harold Tanenbaum,Backcourt,Baltimore Bullets
D'Angelo Russell,Backcourt,Los Angeles Lakers
Jaylen Marselles Brown,Backcourt,Boston Celtics
Wardell Stephen Curry II,Backcourt,Golden State Warriors
Tyler Christopher Herro,Backcourt,Miami Heat
Kyle Terrell Lowry,Backcourt,Philadelphia 76ers
Michael Jeffrey Jordan,Backcourt,"Chicago Bulls, Washington Wizards"
Devin Armani Booker,Backcourt,Phoenix Suns
Lonzo Anderson Ball,Backcourt,Chicago Bulls
Kobe Bean Bryant,Backcourt,Los Angeles Lakers
Christopher Emmanuel Paul,Backcourt,San Antonio Spurs
