query_id,query_text,success,delta_type,latency_s,result_rows,prompt_tokens,completion_tokens,total_tokens,macro_f1,macro_precision,macro_recall,gt_result_count,matched_rows,is_agg,error
Q1,"SELECT name, nationality, age, team FROM player",True,UQE,145.40621829032898,141,802104,3992,806096,0.16666666666666669,0.16666666666666669,0.16666666666666669,141,61,False,
Q2,"SELECT name, position, college, draft_pick FROM player",True,UQE,141.90765237808228,141,798156,4170,802326,0.2836879432624113,0.2836879432624113,0.2836879432624113,141,57,False,
Q3,"SELECT name, nationality, age, team FROM player WHERE age > 30",True,UQE,156.21658992767334,24,96005,1010,97015,0.055970149253731345,0.15625,0.03409090909090909,110,10,False,
Q4,"SELECT name, college, draft_pick, team FROM player WHERE draft_pick > 0",True,UQE,187.29707646369934,52,300792,2037,302829,0.23270440251572327,0.3557692307692307,0.17289719626168223,107,23,False,
Q5,"SELECT name, nationality, team FROM player WHERE nationality = 'American'",True,UQE,250.0143084526062,114,683831,3051,686882,0.17971014492753623,0.1812865497076023,0.17816091954022992,116,46,False,
Q6,"SELECT name, position, team FROM player WHERE position = 'Backcourt'",True,UQE,146.01991200447083,5,66957,618,67575,0.037037037037037035,0.13333333333333333,0.02150537634408602,31,2,False,
Q7,SELECT COUNT(*) FROM player WHERE age > 25,True,UQE,130.7916133403778,1,0,0,0,0.0,0.0,0.0,1,1,True,
Q8,SELECT COUNT(*) FROM player WHERE mvp_awards > 0,True,UQE,130.87964391708374,1,0,0,0,0.0,0.0,0.0,1,1,True,
Q9,"SELECT position, COUNT(*) FROM player GROUP BY position",True,UQE,130.00436687469482,3,787863,2102,789965,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,2,True,
Q10,"SELECT nationality, COUNT(*) FROM player GROUP BY nationality",True,UQE,129.61836910247803,11,788568,2058,790626,0.0588235294117647,0.09090909090909091,0.043478260869565216,23,1,True,
