university_name,college_category,academic_calendar,in_state_tuition_fees,out_of_state_tuition_fees,institutional_control,religious_affiliation,setting,total_undergraduate_enrollment,year_founded,rank,campus_size,college_town,file
College of William and Mary,,semester,"$12,188","$33,212",public,,suburban,"5,836",1693,31,"1,200 acres",Williamsburg,0955
Knox College,,trimester-based,,,private,,urban,"1,407",1837,75,82 acres,Galesburg,0193
Montana Tech of the University of Montana,,Semester,"$5,876","$16,445",Public,,Urban,"2,560",1893,10,108 acres,,0295
Barton College,,4-1-4-based,,,private,,urban,1150,1902,42,76 acres,,0047
Elms College,,semester,N/A,N/A,private,N/A,suburban,N/A,1928,36,N/A,N/A,0946
Union College,,trimester-based,,,private,,urban,"2,194",1795,41,100,,0628
St. Scholastica,Regional Universities (Midwest),semester,,,private,,suburban,"2,821",1912,24,186 acres,,0951
Cornell College ,Private Institution ,other-based ,"$31,050 ", ,,,Rural ,"1,133 ",1853 ,81,129 acres ,,0978
Macalester College,,semester,,,private,,urban,"1,996",1874,26,53 acres,,0232
Union University,,4-1-4-based,,,private,,urban,"2,780",1823,15,360 acres,,0630
Morningside College,,semester,,"$22,980",private,,suburban,"1,239",1894,27,68 acres,,0326
Kutztown University of Pennsylvania,,semester,7732,16438,public,,rural,9614,1866,117,325 acres,,0194
Auburn University--Montgomery,Regional Universities,semester,"$6,730","$19,090",public,,suburban,"4,678",1967,74,500 acres,,0031
Columbia College SC,,semester,,,private,,urban,"1,189",1854,56,53 acres,"Columbia, South Carolina",0962
Monmouth University,,semester-based,,,private,,suburban,"4,681",1933,40,156 acres,"West Long Branch, New Jersey",0291
Massachusetts Maritime Academy,Regional Colleges (North),4-1-4-based,"$6,609","$20,259",Public,,Suburban,"1,185",1891,13,55 acres,,0255
Luther College,,4-1-4,,,private,,rural,"2,519",1861,81,200 acres,,0227
Brigham Young University--Idaho,,,"$3,580",,private,,urban,N/A,1888,21,,,0590
Valparaiso University,,semester-based,,,private,,urban,"2,888",1859,5,320 acres,,0792
Rollins College,,semester-based,"$37,640",,private,,suburban,"1,773",1885,"Regional Universities (South), 1",70 acres,"Winter Park, Florida",0450
University of Science and Arts of Oklahoma,Regional Colleges (West),trimester,"$3,552","$8,448",public,,rural,"1,087",1908,14,75 acres,,0742
Concordia University Chicago,,semester,,,private,,suburban,"1,270",1864,92,40,,0969
Northwestern State University of Louisiana,,semester-based,"$3,932","$10,618",public,,rural,"8,141",1884,83,916 acres,,0366
University of California--Davis,,quarter-based,"$11,984","$34,863",public,,urban,"24,655",1905,39,"5,200 acres",Davis,0646
Lander University,,Semester-based,"$9,154","$17,311",Public,,Suburban,N/A,,31,100 acres,,0200
Southeastern University,,semester,,,private,,suburban,"2,665",1935,53,88 acres,,0489
