court_name,hearing_year,judgment_year,file
 Federal Court of Australia,2006,2006,06_1680.txt
 Supreme Court of New South Wales,2006,2006,06_758.txt
Federal Magistrates Court,2006,2007,09_1398.txt
 Federal Court,2006,2006,07_811.txt
Federal Court of Australia,2006,2007,07_86.txt
NAN,2006,2006,07_54.txt
NAN,2006,2006,06_848.txt
NAN,2006,2007,07_569.txt
 Federal Magistrates Court,2006,2007,07_479.txt
 Supreme Court of Western Australia,2006, 2007,07_2068.txt
Federal Court of Australia,2006,2006,06_1220.txt
Federal Court of Australia,2006,2007,07_545.txt
 Full Court,2006,2006,06_1369.txt
Supreme Court of Western Australia,2006,2006,06_1235.txt
NAN,2006,2007,07_702.txt
 Federal Court,2006,2008,08_130.txt
