court_name,judge_name,hearing_year,judgment_year,file
 Federal Court,NAN,2008, 2008,09_1477.txt
Federal Court,Honourable Justice Jagot,2009,2009,09_570.txt
Western Australian Magistrates Court,Magistrate G N Calder,2009, 2009,09_394.txt
Western Australian Magistrates Court,Magistrate GN Calder,2009, 2024,09_618.txt
Federal Court,Honourable Justice Finkelstein,2008,2008,08_1860.txt
 Federal Magistrates Court, Holt,2008, 2008,09_1398.txt
Federal Magistrates Court,Raphael FM,2008, 2008,08_1765.txt
NAN, the Honourable Justice Siopis,2009,2009,09_26.txt
NAN, HIS HONOUR,2009, 2009,09_1480.txt
 Federal Court of Australia, Honourable Justice Siopis,2009,2009,09_484.txt
Federal Court of Australia, Justice Cooper,2009, 2004,09_789.txt
NAN,Honourable Justice TRACEY,2008,2008,08_1879.txt
NAN,NAN, 2008, 2008,08_1016.txt
 Federal Court, Justice Foster,2009,2009,09_980.txt
Federal Court,Honourable Justice Logan,2009, 2009,09_1154.txt
 Federal Magistrate, Justice Barker,2009,2009,09_841.txt
 Federal Court of Australia,Honourable Justice Cowdroy,2006, 2006,06_1054.txt
Federal Magistrates Court,NAN,2008, 2008,09_217.txt
 Federal Court, Honourable Justice Spender,2008, 2008,09_57.txt
Federal Magistrates Court, Honourable Justice Flick,2008, 2008,08_1897.txt
Federal Court,Honourable Justice Heerey,2008,2008,08_1737.txt
NAN, Justice Collier,2008, 2008,08_1870.txt
Federal Court of Australia,Edmonds J,2008, 2008,08_1112.txt
Federal Court,Jagot J,2008, 2009,09_902.txt
Federal Court,Honourable Justice Collier,2009,2009,09_1205.txt
 Federal Court,Honourable Justice Gordon,2009,2009,09_1122.txt
NAN, Justice Siopis,2009, 2006,06_135.txt
NAN,NAN,2009,NAN,09_1391.txt
 Federal Court,NAN,2009,NAN,09_660.txt
NAN,NAN,2009, 2006,08_995.txt
 Federal Court, Stone J,2009, 2009,09_372.txt
 Federal Court of Australia,NAN,2008, 2008,08_1735.txt
Supreme Court of Western Australia, Justice French,2009, 2006,06_1235.txt
NAN,NAN,2008, 2008,09_1255.txt
Federal Court of Australia, Hon Mr Trevor Morling QC, 2024, 2009,09_516.txt
 Federal Court, Flick J,2009, 2007,08_63.txt
 Federal Court of Australia,NAN,2009, 2009,09_1399.txt
Federal Magistrates Court, Justice Kenny,2008, 2008,08_1408.txt
