court_name,hearing_year,judgment_year,file
Western Australian Magistrates Court,2009,2009,09_618.txt
Federal Court,2008,2009,09_57.txt
Federal Magistrates Court,2008,2009,09_217.txt
Federal Court,2008,2008,08_1737.txt
Federal Court,2008,2008,08_1284.txt
Federal Court of Australia,2009,2009,09_1205.txt
Federal Court,2009,2009,09_1480.txt
Federal Court,2009,2009,09_1391.txt
Federal Court of Australia,2009,2009,09_1399.txt
Federal Court of Australia,2009,2009,09_516.txt
Federal Court,2008,2008,08_783.txt
Federal Court of Australia,2008,2008,08_1530.txt
Federal Magistrate,2009,2009,09_841.txt
Federal Court of Australia,2008,2008,08_1870.txt
Federal Court of Australia,2008,2008,08_1735.txt
Federal Court,2009,2009,09_1477.txt
Western Australian Magistrates Court at Perth,2009,2009,09_394.txt
Federal Magistrates Court,2008,2008,08_1765.txt
Federal Court,2009,2009,09_570.txt
Federal Court of Australia,2008,0,08_1112.txt
nan,2008,2008,08_1879.txt
Federal Court,2008,2008,08_907.txt
Federal Court,2009,2009,09_1122.txt
Federal Court of Australia,2008,2008,08_1016.txt
Federal Court,2009,2009,09_372.txt
Federal Court,2008,2008,08_1860.txt
Federal Court of Australia,2009,2009,09_484.txt
Federal Court of Australia,2009,2009,09_1058.txt
Federal Magistrates Court,2008,2008,08_1408.txt
