court_name,judge_name,file
Western Australian Magistrates Court,Magistrate GN Calder,09_618.txt
Federal Court of Australia,Collier,09_1205.txt
Federal Court,Besanko,09_1480.txt
Federal Court,Cowdroy,09_1391.txt
Federal Court of Australia,Logan,09_1399.txt
Federal Court of Australia,Jacobson,09_516.txt
Federal Magistrate,Barker,09_841.txt
Federal Court,Nicholas,09_1477.txt
Western Australian Magistrates Court at Perth,His Honour Magistrate G N Calder,09_394.txt
Federal Court,Jagot,09_570.txt
Federal Court,Gordon,09_1122.txt
Federal Court,nan,09_372.txt
Federal Court of Australia,Siopis,09_484.txt
Federal Court of Australia,Flick,09_1058.txt
