court_name,hearing_year,legal_basis,file
NAN,2006,Administrative Decisions (Judicial Review) Act 1977 (Cth),06_848.txt
NAN,2006,"s 467(3) of the Corporations Act 2001 (Cth), r 5.5(3) of the Federal Court (Corporations) Rules 2000",06_135.txt
NAN,2006," Copyright Act 1968 (Cth), Trade Practices Act 1974 (Cth), Trade Marks Act 1995 (Cth)",08_995.txt
 Federal Magistrate,2006, judicial review,06_478.txt
 Federal Court of Australia,2006,Order 62 rule 36A(1) of the Federal Court Rules,06_487.txt
NAN,2006,Patents Act 1990 (Cth) s 123,07_1615.txt
NAN,2006, O 52 r 10(2) of the Rules,08_617.txt
 Honourable Justice Foster,2006, Hoy Mobile Pty Limited v Allphones Retail Pty Ltd (No 2) (2008) ATPR 42-240,09_980.txt
 Federal Magistrates Court,2006,subsection 474(2) of the Migration Act,07_479.txt
NAN,2006,ss 52 and 53 of the Trade Practices Act 1976 (Cth),07_54.txt
NAN,2006,Building and Construction Industry Improvement Act 2005 (Cth) (BCII Act),07_2068.txt
Federal Court of Australia,2006,s 87 Trade Practices Act 1974 (Cth),06_157.txt
NAN,2006,"s.23AG of ITAA36, s.136(1) of the FBT Act, s.12-1 of Schedule 1 Part 2-5 of the TAA, s 14ZZK or s 14ZZO of the TAA",09_7.txt
 Federal Magistrate,2006, judicial review,06_786.txt
 Federal Court,2006,Trade Practices Act 1974 (Cth),07_811.txt
 Federal Court of Australia,2006,s 564(1)(b) and s 570 Telecommunications Act 1997 (Cth),08_1530.txt
NAN,2006,Trade Practices Act 1974 (Cth),07_569.txt
Federal Court of Australia,2006,"s 24(1A) of the Federal Court of Australia Act 1976 and O 52, r 10 of the Federal Court Rules",07_545.txt
NAN,2006,Workplace Relations Act 1996 (Cth),06_740.txt
NAN,2006,NAN,06_1054.txt
 Federal Court of Australia,2006,s 24(1A) of the Federal Court of Australia Act 1976 (Cth),06_1680.txt
NAN,2006,Corporations Act 2001 (Cth) 201A(2); Reefton's Constitution cl 13.1,07_17.txt
Federal Court of Australia,2006,"ss 52, 53 (c) and 53 (d) of the Trade Practices Act 1974 (Cth), passing off",06_364.txt
 Federal Court of Australia,2006,s 24(1) of the Spam Act 2003 (Cth),08_130.txt
 Federal Magistrate Court,2006,s 424A(1) of the Migration Act 1958 (Cth),07_702.txt
 Full Court,2006,NAN,06_1369.txt
Federal Court of Australia,2006,"administrative law, Fisheries Management Act 1991 (Cth) ss 17, 32, 38, 39, Administrative Appeals Tribunal Act 1975 (Cth), Offshore Constitutional Settlement, Southern and Eastern Scalefish and Shark Fishery Management Plan 2003",06_1220.txt
Supreme Court of New South Wales,2006,Corporations Act 2001 (Cth) (Division 3 of Part 5.4),09_632.txt
 Federal Court of Australia,2006,"Federal Court of Australia Act 1976 (Cth), Order 11 rule 16 of the Federal Court Rules, s 501 of the Migration Act 1958 (Cth), s 39B of the Judiciary Act 1903 (Cth)",06_1147.txt
Federal Court of Australia,2006,Evidence Act 1995 (Cth) s 79,06_515.txt
 Federal Magistrates Court,2006,Federal Magistrates Court Rules 2001,06_662.txt
Federal Court of Australia,2006,"Native Title Act 1993 (Cth) s 86A and 86B, Federal Court of Australia Act 1976 (Cth) s 23",06_1811.txt
Federal Magistrates Court,2006, Federal Magistrates Court judgment and discretion regarding bankruptcy notice,09_1398.txt
